"Número Contrato";"Código Órgão Superior";"Nome Órgão Superior";"Código Órgão";"Nome Órgão";"Código UG";"Nome UG";"Número Apostilamento";"Descrição Apostilamento";"Valor Apostilamento";"Data de inclusão";"Situação Apostilamento"
"62017";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"130029";"SUPERINT.FEDERAL DE AGRIC.PECUARIA E ABASTEC.";"000000000001/2018";"REEQUILIBRIO ECONOMICO E FINANCEIRO SOLICITADO PELA EMPRESA GTS CCT 2017/2018 VALORES ESTABELECIDOS NA DATA DA LICITAçãO MAJORAçãO SALARIAL, ATUALIZAçãO DO VALE TRANSPORTE, ATUALIZAçãO DO PLANO DE SAUDE, ATUALIZAçãO DO VALE T                             RANSPORTE E ATUALIZAçãO DO PLANO ODONTOLóGICO.";"16967,30";"31/12/2017";"Encerrado"
"72017";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"130029";"SUPERINT.FEDERAL DE AGRIC.PECUARIA E ABASTEC.";"000000000001/2017";"COM BASE NOS PARáGRAFOS 6º E 8º, DO ART. 65 DA LEI Nº 8.666/93 E TENDO EM  ISTA A OCORRêNCIA DO DISSíDIO DA CATEGORIA DOS PROFISSIONAIS DE COPEIRAGE  2017/2018, FIRMADO E REGISTRADO NO MTE SOB O NúMERO BA000584  EM 05/09/20                              DATA DA ABERTURA DO PROCEDIMENTO LICITATóRIO.";"658,10";"04/12/2017";"Encerrado"
"72017";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"130029";"SUPERINT.FEDERAL DE AGRIC.PECUARIA E ABASTEC.";"000000000001/2018";"REEQUILIBRIO ECONOMICO E FINANCEIRO POR DIFERENÇA DE CONTRATO OCASIONADA POR DISSIDIO COLETIVO DE TRABALHO CCT 2017/2018 REGISTRADA NO MTE BA000584/20                                                                        17.";"1541,30";"31/01/2018";"Encerrado"
"702017";"24000";"MINISTERIO DA CIENCIA,TECNOLOGIA E INOVAÇÃO";"24000";"MINISTERIO DA CIENCIA,TECNOLOGIA E INOVAÇÃO";"240107";"INSTITUTO NACIONAL DE PESQUISAS ESPACIAIS";"003.06.007.1/2018";"MANUTENçõES CORRETIVAS SOLICITADAS PELO FISCAL DO CONTRATO, EM CONFORMIDADE COM 4.1.2 DO TERMO DE REFERêNCIA E SUBITEM 3.3 DA CLáUSULA TERCEIRA DO TERCEIRA DO TERMO DE CONTRATO, E, JUSTIFICATIVAS CONSTANTES NA NOTA TéCNICA 63                                                            /2018/SEI-INPE.";"3680,00";"29/05/2018";"Encerrado"
"102017";"25000";"MINISTERIO DA ECONOMIA";"25000";"MINISTERIO DA ECONOMIA";"170078";"SUP.REGIONAL RECEITA FEDERAL 5A.RF/BA";"000000000001/2018";"PRIMEIRA REPACTUAçãO DO CONTRATO DEVIDO AO IMPACTO LEVADO PELO REAJUSTE SALARIAL DAS CATEGORIAS PROFISSIONAIS RELACIONADAS AO CONTRATO, CONFORME CCT B                                                              A000584/2017.";"23516,20";"15/05/2018";"Encerrado"
"32017";"25000";"MINISTERIO DA ECONOMIA";"25000";"MINISTERIO DA ECONOMIA";"170120";"DELEGACIA DA REC.FEDERAL EM CAMPOS GOITACAZES";"00000000000000001";"Amparo previsto no artigo 24, inciso XI, da Lei nº 8.666/93, e no . 8º do a rtigo 24, inciso XI, da Lei 8.666/93 e no paragrafo oitavo do artigo 65 da        Lei 8.666/93, para readequação do preço mensal do contrato 03/2017.";"3315,10";"25/10/2017";"Encerrado"
"32017";"25000";"MINISTERIO DA ECONOMIA";"25000";"MINISTERIO DA ECONOMIA";"170147";"DELEGACIA DA REC.FEDERAL EM SANTO ANDRE/SP";"000000000001/2018";"REPACTUAÇÃO REFERENTE À CCT 2017/2018 E REVISÃO DO VALE TRANSPORTE POR FORÇ                                           A DO AUMENTO NAS TARIFAS DO ABC.";"13437,60";"01/01/2018";"Encerrado"
"42017";"25000";"MINISTERIO DA ECONOMIA";"25000";"MINISTERIO DA ECONOMIA";"170177";"SUP.REGIONAL RECEITA FEDERAL 10A.RF/RS";"000000000002/2018";"Endosso à apólice de seguro para incluir 1 (um) veículo ao elenci do Anexo  II do Termo de Referência - Anexo I do Edital do Pregão SRRF10 11/2017, e m cumprimento ao item 4.7 também do Anexo I do Edital. O valor do contrato será acrescido em R$ 217,52 (duzentos e dezessete reais e cinquenta e dois                                                                 centavos).";"217,50";"05/02/2018";"Encerrado"
"42017";"25000";"MINISTERIO DA ECONOMIA";"25000";"MINISTERIO DA ECONOMIA";"170177";"SUP.REGIONAL RECEITA FEDERAL 10A.RF/RS";"000000000001/2018";"Endosso à apólice de seguro para inclusão de 1 veículo e exclusão de 2 veículos do elenco do Anexo II do Termo de Referência - Anexo I do Edital do Pregão SRRF10 11/2017, em cumprimento ao item 4.7 também do Anexo I do Edital. O valor do contrato será reduzido em R$ 291,70 (duzentos e noventa e um r                                                  eais e noventa centavos).";"0,00";"18/01/2018";"Encerrado"
"52017";"25000";"MINISTERIO DA ECONOMIA";"25000";"MINISTERIO DA ECONOMIA";"170198";"DELEGACIA DA REC.FEDERAL EM GOIANIA/GO";"00000000000000002";"REPACTUAçãO";"14493,30";"21/05/2018";"Encerrado"
"52017";"25000";"MINISTERIO DA ECONOMIA";"25000";"MINISTERIO DA ECONOMIA";"170198";"DELEGACIA DA REC.FEDERAL EM GOIANIA/GO";"00000000000000001";"INDICAR DOTAÇÃO ORÇAMENTÁRIA E FINANCEIRA PARA O EXERCÍCIO DE 2018 E INFOR                                         AR NOTA DE EMPENHO PARA O PERÍODO.";"0,00";"19/02/2018";"Encerrado"
"62017";"25000";"MINISTERIO DA ECONOMIA";"25000";"MINISTERIO DA ECONOMIA";"170198";"DELEGACIA DA REC.FEDERAL EM GOIANIA/GO";"00000000000000001";"INDICAR DOTAÇÃO ORÇAMENTÁRIA E FINANCEIRA PARA O EXERCÍCIO DE 2018 E INFOR                                         AR NOTA DE EMPENHO PARA O PERÍODO.";"0,00";"15/02/2018";"Encerrado"
"62017";"25000";"MINISTERIO DA ECONOMIA";"25000";"MINISTERIO DA ECONOMIA";"170198";"DELEGACIA DA REC.FEDERAL EM GOIANIA/GO";"000000000002/2018";"PRIMEIRA REPACTUAÇÃO.";"3071,00";"03/05/2018";"Encerrado"
"32017";"25000";"MINISTERIO DA ECONOMIA";"25000";"MINISTERIO DA ECONOMIA";"170383";"DELEGACIA DA REC. FED. DO BRASIL NO RJ II";"00000000000052018";"CORRIGIR O VALOR DO TERMO DE APOSTILAMENTO Nº 042018, QUE FOI LANçADO A MEN                                                                        OR.";"11908,00";"25/04/2018";"Encerrado"
"32017";"25000";"MINISTERIO DA ECONOMIA";"25000";"MINISTERIO DA ECONOMIA";"170383";"DELEGACIA DA REC. FED. DO BRASIL NO RJ II";"00000000000032018";"Indicar a dotação orçamentária para o exercício de 2018 (impostos e taxas).";"0,00";"21/03/2018";"Encerrado"
"32017";"25000";"MINISTERIO DA ECONOMIA";"25000";"MINISTERIO DA ECONOMIA";"170383";"DELEGACIA DA REC. FED. DO BRASIL NO RJ II";"00000000000022018";"Indicar a dotação orçamentária para o exercício de 2018 (despesas condomini                                                                      ais).";"0,00";"21/03/2018";"Encerrado"
"32017";"25000";"MINISTERIO DA ECONOMIA";"25000";"MINISTERIO DA ECONOMIA";"170383";"DELEGACIA DA REC. FED. DO BRASIL NO RJ II";"00000000000042018";"Complementação ao Termo de Apostilamento nº 032018, tendo em vista que o valor cobrado por impostos e taxas incidentes sobre o imóvel locado superou o                                  que havia sido estimado no início do ano.";"20200,00";"20/04/2018";"Encerrado"
"32017";"25000";"MINISTERIO DA ECONOMIA";"25000";"MINISTERIO DA ECONOMIA";"170383";"DELEGACIA DA REC. FED. DO BRASIL NO RJ II";"00000000000012018";"Indicar a dotação orçamentária para o exercício de 2018.";"0,00";"21/03/2018";"Encerrado"
"402017";"26000";"MINISTERIO DA EDUCACAO";"26000";"MINISTERIO DA EDUCACAO";"150002";"SUBSECRETARIA DE ASSUNTOS ADMINISTRATIVOS";"000000000001/2018";"DECORRENTE DE REAJUSTE DOS SALáRIOS E BENEFíCIOS PREVISTOS NA CONVENçãO COL                                               ETIVA DE TRABALHO 2018/2018.";"187329,30";"17/04/2018";"Encerrado"
"82017";"26000";"MINISTERIO DA EDUCACAO";"26255";"UNIVERSIDADE FED.VALES JEQUITINHONHA E MUCURI";"153036";"UNIV.FED.DOS VALES DO JEQUITINHONHA E MUCURI";"000000000001/2018";"REPACTUAR O VALOR CONTRATUAL A PARTIR DE 01/01/2018 PASSANDO OS VALORES MENSAIS DOS POSTOS PARA R$4.353,13. REPACTUAR O VALOR CONTRATUAL A PARTIR DE 0         1/03/2018, PASSANDO OS VALORES MENSAIS DOS POSTOS PARA R$4.449,00.";"1257,30";"08/05/2018";"Encerrado"
"282017";"26000";"MINISTERIO DA EDUCACAO";"26291";"FUND.COORD.DE APERF.DE PESSOAL NIVEL SUPERIOR";"154003";"MEC-FUCAPES-FUND.COORD.DE AP.NIV.SUPERIOR/DF";"000000000001/2018";"REAJUSTE DO CONTRATO Nº 28/2017 - JP SMART,EM FUNçãO DO IPCA DE 2,84% (ACUM                                  ULADO NO PERíODO DE MAR/2017 A FEV/2018).";"5400,00";"11/04/2018";"Encerrado"
"132017";"26000";"MINISTERIO DA EDUCACAO";"26404";"INST.FED.DE EDUC.,CIENC.E TEC.BAIANO";"154617";"INSTITUTO FEDERAL BAIANO - CAMPUS URUÇUCA";"000000000001/2018";"REPACTUACAO DE PRECOS EM RAZAO DA CCT SEAC X SINDLIMP 2017/2018, REGISTRADA               NO MTE SOB O NUMERO BA000584/2017, CONFORME A CLÁSULA SEXTA.";"5713,40";"26/01/2018";"Encerrado"
"72017";"26000";"MINISTERIO DA EDUCACAO";"26406";"INST.FED.DE EDUC.,CIENC.E TEC. DO ESP.SANTO";"158420";"IFES - CAMPUS LINHARES";"000000000001/2018";"REPACTUAçãO DOS VALORES DO CONTRATO Nº07/2017, REFERENTE A CORREçãO SALARIA                  L CONSTANTE DA CONVENçãO COLETIVA 2018/2018 DA CATEGORIA.";"14774,20";"24/04/2018";"Encerrado"
