"N˙mero Contrato";"CÛdigo ”rg„o Superior";"Nome ”rg„o Superior";"CÛdigo ”rg„o";"Nome ”rg„o";"CÛdigo UG";"Nome UG";"N˙mero Apostilamento";"DescriÁ„o Apostilamento";"Valor Apostilamento";"Data de inclus„o";"SituaÁ„o Apostilamento"
"62017";"20000";"PRESIDENCIA DA REPUBLICA";"20214";"AGENCIA NACIONAL DE AVIA«√O CIVIL - ANAC";"113214";"AGENCIA NACIONAL DE AVIACAO CIVIL - ANAC";"000000000003/2018";"RETIFICAÁ„O DO 2∫ TERMO DE APOSTILAMENTO AO CONTRATO N∫ 06/ANAC/2017, CONFORME CONSTA NOS AUTOS DO PROCESSO SEI N∫ 00058.530237/2017-10, DOCUMENTOS SE                                                 I N∫ 1999806 E N∫ 1999517.";"12240,40";"11/07/2018";"Encerrado"
"62017";"20000";"PRESIDENCIA DA REPUBLICA";"20214";"AGENCIA NACIONAL DE AVIA«√O CIVIL - ANAC";"113214";"AGENCIA NACIONAL DE AVIACAO CIVIL - ANAC";"000000000001/2017";"Concess„o da 1™ repactuaÁ„o solicitada pela empresa em decorrÍncia da homol                          ogaÁ„o de novas convenÁıes coletivas de trabalho.";"678695,60";"05/07/2017";"Encerrado"
"62017";"20000";"PRESIDENCIA DA REPUBLICA";"20214";"AGENCIA NACIONAL DE AVIA«√O CIVIL - ANAC";"113214";"AGENCIA NACIONAL DE AVIACAO CIVIL - ANAC";"000000000002/2018";"TRATA-SE DA 2™ REPACTUAÁ„O CONTRATUAL POR FORÁA DA VIGÍNCIA DE CONVENÁıES C                                   OLETIVAS DE TRABALHO PARA O ANO DE 2018.";"474350,90";"15/06/2018";"Encerrado"
"142017";"24000";"MINISTERIO DA CIENCIA,TECNOLOGIA E INOVA«√O";"20301";"COMISSAO NACIONAL DE ENERGIA NUCLEAR";"113201";"SAE-CNEN-COMIS.NACIONAL DE ENERGIA NUCLEAR/RJ";"00000000000000002";"repactuaÁ„o do valor do contrato pelo dissidio da categoria.";"730,00";"26/02/2018";"Encerrado"
"142017";"24000";"MINISTERIO DA CIENCIA,TECNOLOGIA E INOVA«√O";"20301";"COMISSAO NACIONAL DE ENERGIA NUCLEAR";"113201";"SAE-CNEN-COMIS.NACIONAL DE ENERGIA NUCLEAR/RJ";"000000000001/2017";"REPACTUAÁ„O DO VALOR DO CONTRATO EM DECORRENCIA DO DISSIDIO DA CATEGORIA.";"696,10";"05/10/2017";"Encerrado"
"12017";"44000";"MINISTERIO DO MEIO AMBIENTE";"20701";"INST.BRAS.DO MEIO AMB.E DOS REC.NAT.RENOVAV.";"193125";"IBAMA - SUPERINTENDENCIA ESTADUAL/SC";"000000000003/2018";"RENOVAÁ„O DO CONTRATO 1/2017, BEM COMO VIABILIZAR O LANÁAMENTO DE DADOS E ACOMPANHAMENTO DE CRONOGRAMA/SIASG/SICON N∫ 02/2017, POR N„O ESTAR DISPONÌVE                       L OUTRA FORMA DE CONTROLE, CONFORME EXIGÍNCIA LEGAL.";"40000,00";"26/03/2018";"Encerrado"
"92017";"44000";"MINISTERIO DO MEIO AMBIENTE";"20701";"INST.BRAS.DO MEIO AMB.E DOS REC.NAT.RENOVAV.";"193125";"IBAMA - SUPERINTENDENCIA ESTADUAL/SC";"000000000004/2017";"RenovaÁ„o do Contrato 9/2017, bem como viabilizar o lanÁamento de dados e acompanhamento de CronogramaSIASG/SICON n∫ 03/2017, por n„o estar disponÌvel                         outra forma de controle, conforme exigÍncia legal.";"20000,00";"26/03/2018";"Encerrado"
"152017";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"130016";"LABORAT”RIO FEDERAL DE DEFESA AGROPECURIO/PE";"000000000001/2018";"CONCESS„O DA REPACTUAÁ„O SOBRE O VALOR DO CONTRATO N∫ 15/2017, EM DECORRÍNC IA DE APURADA VARIAÁ„O DOS CUSTOS DA PRESTAÁ„O DOS SERVIÁOS, RELATIVAMENTE ‡S CATEGORIAS PROFISSIONAIS DE SECRET·RIA (TÈCNICA), SECRET·RIA EXECUTIVA,RECEPCIONISTA, AUXILIAR DE ARQUIVO, CONTÌNUO, AUXILIAR TÈCNICO DE ENGENHARI       A, COPEIRAGEM E DIGITADOR, COM DATA-BASE MEDIANTE ACORDOS COLETIVOS.";"148663,10";"02/05/2018";"Encerrado"
"22017";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"130018";"SUPERINT.FEDERAL DE AGRIC.PECUARIA E ABASTEC.";"000000000001/2018";"REPACTUAÁ„O CONTRATUAL DECORRENTE DO TERMO ADITIVO A CONVENÁ„O COLETIVA DE                                                TRABALHO 2018/2018 SEAC-TO.";"1662,70";"19/04/2018";"Encerrado"
"12017";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"130075";"DISTRITO DE METEOROLOGIA/RS";"000000000001/2018";"RepactuaÁ„o do preÁo devido a dissidio coletivo da categoria.";"2902,30";"15/05/2018";"Encerrado"
