"N˙mero Contrato";"CÛdigo ”rg„o Superior";"Nome ”rg„o Superior";"CÛdigo ”rg„o";"Nome ”rg„o";"CÛdigo UG";"Nome UG";"N˙mero Apostilamento";"DescriÁ„o Apostilamento";"Valor Apostilamento";"Data de inclus„o";"SituaÁ„o Apostilamento"
"72016";"20000";"PRESIDENCIA DA REPUBLICA";"20214";"AGENCIA NACIONAL DE AVIA«√O CIVIL - ANAC";"113214";"AGENCIA NACIONAL DE AVIACAO CIVIL - ANAC";"00000000000012017";"REGISTRO DA VARIAÁ„O DO VALOR DO CONTRATO 07/ANAC/2016 NO VALOR DE R$ 27.42   8,19 EM DECORRÍNCIA DE REAJUSTE NA ORDEM DE 2,71% COM BASE NO IPCA/IBGE.";"27428,10";"29/09/2017";"Encerrado"
"12016";"44000";"MINISTERIO DO MEIO AMBIENTE";"20701";"INST.BRAS.DO MEIO AMB.E DOS REC.NAT.RENOVAV.";"193125";"IBAMA - SUPERINTENDENCIA ESTADUAL/SC";"000000000008/2018";"PRORROGAÁ„O DO CONTRATO N∫ 1/2016,PELO PERÌODO DE 12 (DOZE) MESES, A CONTAR  DE 29 DE JUNHO DE 2018, VISANDO O FORNECIMENTO DE ENERGIA ELÈTRICA PARA ASUPES/SC E AS UNIDADES DESCENTRALIZADAS NO ESTADO, EM CARATER CONTINUADO, POR DISPENSA DE LICITAÁ„O, DA EMPRESA CENTRAIS ELÈTRICAS DE SANTA CATARINA -                                                   CELESC DISTRIBUIÁ„O S.A.";"180000,00";"14/06/2018";"Encerrado"
"12016";"44000";"MINISTERIO DO MEIO AMBIENTE";"20701";"INST.BRAS.DO MEIO AMB.E DOS REC.NAT.RENOVAV.";"193125";"IBAMA - SUPERINTENDENCIA ESTADUAL/SC";"000000000002/2017";"fornecimento de energia elÈtrica para a SUPES/SC e as unidades descentralizadas no Estado, em carater continuado, por dispensa de licitaÁ„o, da empres          a Centrais ElÈtricas de Santa Catarina - CELESC DistribuiÁ„o S.A.";"181524,70";"26/04/2017";"Encerrado"
"182016";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"130005";"COORD.-GERAL DE EXECUCAO OR«.E FIN./DA/MAPA";"000000000004/2018";"PROMOVER REPACTUAÁ„O DO CONTRATO 18/2016.";"72049,40";"24/04/2018";"Encerrado"
"182016";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"130005";"COORD.-GERAL DE EXECUCAO OR«.E FIN./DA/MAPA";"000000000007/2017";"PROMOVER REPACTUAÁ„O DO CONTRATO";"174275,30";"25/05/2017";"Encerrado"
"82016";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"130017";"LABORATORIO NACIONAL AGROPECUARIO NO PARA";"000000000001/2017";"REPACTUA«√O DO CONTRATO N∫ 08/2016, EM CONFORMIDADE CONVE«√O COLETIVA DE T                                                         RABALHO 2017/2018.";"42671,50";"18/04/2017";"Encerrado"
"22016";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"130028";"SUPERINT.FEDERAL DE AGRIC.PECUARIA E ABASTEC.";"00000000000032017";"REPACTUAÁ„O";"15519,40";"10/07/2017";"Encerrado"
"32016";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"130028";"SUPERINT.FEDERAL DE AGRIC.PECUARIA E ABASTEC.";"000000000002/2017";"repactuaÁ„o";"2634,40";"10/07/2017";"Encerrado"
"72016";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"130077";"SUPERINT.FEDERAL DE AGRIC.PECUARIA E ABASTEC.";"000000000001/2018";"APOSTILAMENTO REFERENTE PEDIDO DE REPACTUAÁ„O DE VALORES POR CONVENÁ„O COLE                                                   TIVA ANUAL DA CATEGORIA.";"2286,20";"18/04/2018";"Encerrado"
"72016";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"130077";"SUPERINT.FEDERAL DE AGRIC.PECUARIA E ABASTEC.";"00000000000000001";"APOSTILAMENTO PARA MANTER EQUILIBRIO FINANCEIRO DO CONTRATO DEVIDO A CONVEN                                           «√O COLETIVA DE TRABALHO DE 2017";"40000,60";"01/01/2017";"Encerrado"
