"Código Órgão";"Nome Órgão";"Código UG";"Nome UG";"Número Contrato";"Código Item Compra";"Descrição Item Compra";"Descrição Complementar Item Compra";"Quantidade Item";"Valor Item"
"32396";"Agência Nacional de Mineração";"323110";"GERENCIA REGIONAL DA ANM - SP";"12016";"3230040600005201700001";"INFORMATICA - LOCACAO EQUIPAMENTOS";"DISPENSA PARA EMPENHO DE CONTRATO 1-2016. SRP PREGÃO 22-2015 MINISTÉRIO DA FAZ ENDA EM SÃO PAULO. SUP.DNPM- ÓRGÃO PARTICIPANTE";"1";"32812,80"
"32396";"Agência Nacional de Mineração";"323110";"GERENCIA REGIONAL DA ANM - SP";"12016";"0";"Inválido";"Inválido";"1";"32812,80"
"52121";"Comando do Exército";"160446";"62 BATALHAO DE INFANTARIA";"12017";"1604460700001201700001";"FORNECIMENTO DE AGUA E COLETA DE ESGOTO SANITARIO";"FORNECIMENTO DE ÁGUA E SERVIÇOS DE SANEAMENTO BÁSICO.";"12";"181630,20"
"52121";"Comando do Exército";"160446";"62 BATALHAO DE INFANTARIA";"12017";"1604460700001201700001";"FORNECIMENTO DE AGUA E COLETA DE ESGOTO SANITARIO";"FORNECIMENTO DE ÁGUA E SERVIÇOS DE SANEAMENTO BÁSICO.";"12";"16713,68"
"52904";"Fundo do Exército";"167488";"COMANDO DA 2  REGIAO MILITAR";"12018";"0";"Inválido";"Inválido";"1";"36576,00"
"52904";"Fundo do Exército";"167488";"COMANDO DA 2  REGIAO MILITAR";"12018";"1604880700018201800001";"ENSINO ESPECIAL - SUPERDOTADO / DEFICIENTE FÍSICO";"CREDENCIAMENTO DE PRESTAÇÃO DE SERVIÇO DE EDUCAÇÃO ESPECIAL, À PORTADORES DE N ECESSIDADES EDUCATIVAS ESPECIAIS- (PNEE), AOS BENEFICIÁRIOS E DEPENDENTES DO F UNDO DE SAÚDE DO EXÉRCITO (FUSEX), VINCULADOS AO COMANDO DA 2ª REGIÃO MILITAR.";"1";"36576,00"
"52131";"Comando da Marinha";"721000";"ESCOLA DE GUERRA NAVAL";"12019";"0";"Não se aplica";"Não se aplica";"1";"187588,70"
"52121";"Comando do Exército";"160113";"4 BATALHAO DE ENGENHARIA DE COMBATE";"12020";"1603480500021201900001";"MANUTENCAO DE VEICULOS LEVES / PESADOS";"PRESTAÇÃO DE SERVIÇOS MECÂNICOS (MÃO DE OBRA), INCLUINDO MANUTENÇÃO PREVENTIVA , MANUTENÇÃO CORRETIVA, SERVIÇO DE TRANSPORTE (SERVIÇOS DE MUNCK E SOCORRO MEC ÂNICO) PARA EQUIPAMENTOS DE ENGENHARIA";"70000";"70000,00"
"52121";"Comando do Exército";"160113";"4 BATALHAO DE ENGENHARIA DE COMBATE";"12020";"1603480500021201900013";"COMPONENTES DIVERSOS PARA VEÍCULOS";"FORNECIMENTO PARCELADO DE FILTROS E LUBRIFICANTES PARA VEÍCULOS DA LINHA PESAD A";"55000";"55000,00"
"52121";"Comando do Exército";"160113";"4 BATALHAO DE ENGENHARIA DE COMBATE";"12020";"1603480500021201900007";"COMPONENTES DIVERSOS PARA VEÍCULOS";"FORNECIMENTO PARCELADO DE PNEUS NOVOS PARA EQUIPAMENTOS DE ENGENHARIA";"35000";"35000,00"
