"Código Órgão";"Nome Órgão";"Código UG";"Nome UG";"Número Contrato";"Código Item Compra";"Descrição Item Compra";"Descrição Complementar Item Compra";"Quantidade Item";"Valor Item"
"38901";"Fundo de Amparo ao Trabalhador";"380931";"SUPERINTENDENCIA REGIONAL DO TRABALHO/AL";"11014";"3809310500023201300001";"PRESTACAO DE SERVICO DE  VIGILANCIA E SEGURANCA - ORGANICA -12 HORAS DIURNAS - 2ª A DOMINGO";"PRESTAÇÃO DE SERVIÇOS DE VIGILÂNCIA DESARMADA 12X36 DIURNO NO EDIFÍCIO SEDE (M ACEIÓ) DA SRTE/AL.";"2";"133255,00"
"38901";"Fundo de Amparo ao Trabalhador";"380931";"SUPERINTENDENCIA REGIONAL DO TRABALHO/AL";"11014";"3809310500023201300006";"PRESTACAO DE SERVICO DE  VIGILANCIA E SEGURANÇA - ORGANICA -44 HORAS SEMANAIS DIURNAS";"PRESTAÇÃO DE SERVIÇOS DE VIGILÂNCIA DESARMADA 44HORAS SEMANAIS DIURNO NA AGÊNC IA REGIONAL DO TRABALHO EM PALMEIRA DOS ÍNDIOS.";"1";"35204,00"
"38901";"Fundo de Amparo ao Trabalhador";"380931";"SUPERINTENDENCIA REGIONAL DO TRABALHO/AL";"11014";"3809310500023201300005";"PRESTACAO DE SERVICO DE  VIGILANCIA E SEGURANÇA - ORGANICA -44 HORAS SEMANAIS DIURNAS";"PRESTAÇÃO DE SERVIÇOS DE VIGILÂNCIA DESARMADA 44HORAS SEMANAIS DIURNO NA AGÊNC IA REGIONAL DO TRABALHO EM MARAGOGI.";"1";"35204,00"
"38901";"Fundo de Amparo ao Trabalhador";"380931";"SUPERINTENDENCIA REGIONAL DO TRABALHO/AL";"11014";"3809310500023201300010";"PRESTACAO DE SERVICO DE  VIGILANCIA E SEGURANÇA - ORGANICA -44 HORAS SEMANAIS DIURNAS";"PRESTAÇÃO DE SERVIÇOS DE VIGILÂNCIA DESARMADA 44HORAS SEMANAIS DIURNO NA AGÊNC IA REGIONAL DO TRABALHO EM UNIÃO DOS PALMARES.";"1";"35204,00"
"38901";"Fundo de Amparo ao Trabalhador";"380931";"SUPERINTENDENCIA REGIONAL DO TRABALHO/AL";"11014";"3809310500023201300007";"PRESTACAO DE SERVICO DE  VIGILANCIA E SEGURANÇA - ORGANICA -44 HORAS SEMANAIS DIURNAS";"PRESTAÇÃO DE SERVIÇOS DE VIGILÂNCIA DESARMADA 44HORAS SEMANAIS DIURNO NA AGÊNC IA REGIONAL DO TRABALHO EM PORTO REAL DO COLÉGIO.";"1";"35204,00"
"38901";"Fundo de Amparo ao Trabalhador";"380931";"SUPERINTENDENCIA REGIONAL DO TRABALHO/AL";"11014";"3809310500023201300008";"PRESTACAO DE SERVICO DE  VIGILANCIA E SEGURANÇA - ORGANICA -44 HORAS SEMANAIS DIURNAS";"PRESTAÇÃO DE SERVIÇOS DE VIGILÂNCIA DESARMADA 44HORAS SEMANAIS DIURNO NA AGÊNC IA REGIONAL DO TRABALHO EM SANTANA DO IPANEMA.";"1";"35204,00"
"38901";"Fundo de Amparo ao Trabalhador";"380931";"SUPERINTENDENCIA REGIONAL DO TRABALHO/AL";"11014";"3809310500023201300002";"PRESTACAO DE SERVICO DE  VIGILANCIA E SEGURANCA - ORGANICA -12 HORAS DIURNAS - 2ª A DOMINGO";"PRESTAÇÃO DE SERVIÇOS DE VIGILÂNCIA DESARMADA 12X36 DIURNO NA GARAGEM (MACEIÓ)  DA SRTE/AL.";"1";"66627,00"
"38901";"Fundo de Amparo ao Trabalhador";"380931";"SUPERINTENDENCIA REGIONAL DO TRABALHO/AL";"11014";"3809310500023201300004";"PRESTACAO DE SERVICO DE  VIGILANCIA E SEGURANÇA - ORGANICA -44 HORAS SEMANAIS DIURNAS";"PRESTAÇÃO DE SERVIÇOS DE VIGILÂNCIA DESARMADA 44HORAS SEMANAIS DIURNO NA AGÊNC IA REGIONAL DO TRABALHO EM ATALAIA.";"1";"35204,00"
"38901";"Fundo de Amparo ao Trabalhador";"380931";"SUPERINTENDENCIA REGIONAL DO TRABALHO/AL";"11014";"3809310500023201300003";"PRESTACAO DE SERVICO DE  VIGILANCIA E SEGURANÇA - ORGANICA -44 HORAS SEMANAIS DIURNAS";"PRESTAÇÃO DE SERVIÇOS DE VIGILÂNCIA DESARMADA 44HORAS SEMANAIS DIURNO NA GERÊN CIA REGIONAL DO TRABALHO EM ARAPIRACA.";"1";"35204,00"
"38901";"Fundo de Amparo ao Trabalhador";"380931";"SUPERINTENDENCIA REGIONAL DO TRABALHO/AL";"11014";"3809310500023201300009";"PRESTACAO DE SERVICO DE  VIGILANCIA E SEGURANÇA - ORGANICA -44 HORAS SEMANAIS DIURNAS";"PRESTAÇÃO DE SERVIÇOS DE VIGILÂNCIA DESARMADA 44HORAS SEMANAIS DIURNO NA AGÊNC IA REGIONAL DO TRABALHO EM SÃO MIGUEL DOS CAMPOS.";"1";"35204,00"
