"N˙mero Contrato";"CÛdigo ”rg„o Superior";"Nome ”rg„o Superior";"CÛdigo ”rg„o";"Nome ”rg„o";"CÛdigo UG";"Nome UG";"N˙mero Apostilamento";"DescriÁ„o Apostilamento";"Valor Apostilamento";"Data de inclus„o";"SituaÁ„o Apostilamento"
"202014";"20113";"MINISTERIO DO PLANEJAMENTO,DESENV. E GEST√O";"20113";"MINISTERIO DO PLANEJAMENTO,DESENV. E GEST√O";"201013";"COORDENA«√O DE EXECU«√O ORC. E FINANCEIRA";"000000000014/2016";"RepactuaÁ„o de preÁos";"120813,30";"14/03/2016";"Encerrado"
"202014";"20113";"MINISTERIO DO PLANEJAMENTO,DESENV. E GEST√O";"20113";"MINISTERIO DO PLANEJAMENTO,DESENV. E GEST√O";"201013";"COORDENA«√O DE EXECU«√O ORC. E FINANCEIRA";"000000000026/2016";"COMPLEMENTO DA REPACTUAÁ„O EFETUADA ANTERIORMENTE POR INTERMÈDIO DA APOSTIL                                                              A N∫ 16/2016.";"8607,50";"19/05/2016";"Encerrado"
"202014";"20113";"MINISTERIO DO PLANEJAMENTO,DESENV. E GEST√O";"20113";"MINISTERIO DO PLANEJAMENTO,DESENV. E GEST√O";"201013";"COORDENA«√O DE EXECU«√O ORC. E FINANCEIRA";"000000000042/2017";"REPACTUAÁ„O DE PREÁOS.";"585476,10";"14/09/2017";"Encerrado"
"72014";"20000";"PRESIDENCIA DA REPUBLICA";"20116";"FUNDO DE IMPRENSA NACIONAL";"110245";"FUNDO DE IMPRENSA NACIONAL/EXEC.ORC.FINANC.";"000000000002/2018";"REAJUSTE CONTRATUAL.";"17226,90";"11/06/2018";"Encerrado"
"72014";"20000";"PRESIDENCIA DA REPUBLICA";"20116";"FUNDO DE IMPRENSA NACIONAL";"110245";"FUNDO DE IMPRENSA NACIONAL/EXEC.ORC.FINANC.";"000000000002/2017";"REAJUSTE NO VALOR DE 3%, CONFORME ACORDO ENTRE AS PARTES, A PARTIR DE 28 DE                                                         FEVEREIRO DE 2017.";"14648,70";"07/11/2017";"Encerrado"
"72014";"20000";"PRESIDENCIA DA REPUBLICA";"20116";"FUNDO DE IMPRENSA NACIONAL";"110245";"FUNDO DE IMPRENSA NACIONAL/EXEC.ORC.FINANC.";"000000000002/2015";"Reajuste contratual correspondente a 7,70% (sete vÌrgula setenta por cento), considerando o perÌodo correspondente ao IPCA do IBGE de fevereiro/2014 a                                                            fevereiro/2015.";"38039,50";"26/05/2015";"Encerrado"
"82014";"20000";"PRESIDENCIA DA REPUBLICA";"20116";"FUNDO DE IMPRENSA NACIONAL";"110245";"FUNDO DE IMPRENSA NACIONAL/EXEC.ORC.FINANC.";"000000000002/2017";"Reajuste no percentual de 3%, a partir de 28 de fevereiro de 2017";"19164,70";"07/11/2017";"Encerrado"
"82014";"20000";"PRESIDENCIA DA REPUBLICA";"20116";"FUNDO DE IMPRENSA NACIONAL";"110245";"FUNDO DE IMPRENSA NACIONAL/EXEC.ORC.FINANC.";"000000000002/2015";"ACRÈSCIMO RESULTATE DE REAJUSTE ONTRATUAL CORRESPONDENTE A 7,70% (SETE VÌRGULA SETENTA POR CENTO), CONSIDERANDO O PERÌODO CORRESPONDENTE AO IPCA DO IB                                   GE DE FEVEREIRO/2014 A FEVEREIRO DE 2015";"49542,00";"26/05/2015";"Encerrado"
"12014";"44000";"MINISTERIO DO MEIO AMBIENTE";"20701";"INST.BRAS.DO MEIO AMB.E DOS REC.NAT.RENOVAV.";"193117";"IBAMA - SUPERINTENDENCIA ESTADUAL/PI";"00000000000000001";"CONCESS„O DE REPACTUAÁ„O  CCT/2016.";"9142,20";"18/12/2017";"Encerrado"
"12014";"44000";"MINISTERIO DO MEIO AMBIENTE";"20701";"INST.BRAS.DO MEIO AMB.E DOS REC.NAT.RENOVAV.";"193117";"IBAMA - SUPERINTENDENCIA ESTADUAL/PI";"00000000000000002";"CONCESS„O DE REPACTUAÁ„O CCT/2017.";"15976,80";"18/12/2017";"Encerrado"
"52014";"44000";"MINISTERIO DO MEIO AMBIENTE";"20701";"INST.BRAS.DO MEIO AMB.E DOS REC.NAT.RENOVAV.";"193183";"IBAMA - GER NCIA EXECUTIVA I - TOCANTINS";"00000000000022017";"REPACTUAÁ„O CONCEDIDA EM DECORRÍNCIA DAS ALTERAÁıES CONSTANTE DA CCT 2015/2                                                                       016.";"80874,20";"06/01/2017";"Encerrado"
"22014";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"130024";"SUPERINT.FEDERAL DE AGRIC.PECUARIA E ABASTEC.";"000000000004/2014";"REPACTUA«√O DE PRE«OS, PREVISTA EM EDITAL, DEVIDO ¿ CONVEN«√O COLETIVA DE T                   RABALHO 2014/2015, N∫ DE REGISTRO NO MTE: PB000159/2014.";"17077,60";"20/06/2014";"Encerrado"
"22014";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"130024";"SUPERINT.FEDERAL DE AGRIC.PECUARIA E ABASTEC.";"000000000004/2015";"CCT REGISTRO NO MTE PB000168/2015";"13641,60";"30/07/2015";"Encerrado"
"22014";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"130024";"SUPERINT.FEDERAL DE AGRIC.PECUARIA E ABASTEC.";"000000000004/2016";"CCT ENTRE O SINDICATO DOS EMP EM EMPRESAS DE SEG E VIG DA PARAÕBA E SINDICASINDICATO DAS EMPRESAS DE SEGURAN«A PRIVADA DO ESTADO DA PARAÕBA 2016/2017,                                                       SOB N∫ PB000149/2016";"24886,00";"15/08/2016";"Encerrado"
"22014";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"130024";"SUPERINT.FEDERAL DE AGRIC.PECUARIA E ABASTEC.";"000000000001/2017";"REAJUSTE DE PREÁOS DECORRENTE DA CONVENÁ„O COLETIVA DE TRABALHO N∫ PB000196                                /2017, REFERENTE ‡ CATEGORIA DOS VIGILANTES";"10478,80";"17/08/2017";"Encerrado"
"42014";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"130029";"SUPERINT.FEDERAL DE AGRIC.PECUARIA E ABASTEC.";"21012001713200978";"Em decorrÍncia do valor estimativo ser aquÈm do valor da efetiva despesa.";"4732,80";"11/12/2014";"Encerrado"
