"Número Contrato";"Código Órgão Superior";"Nome Órgão Superior";"Código Órgão";"Nome Órgão";"Código UG";"Nome UG";"Número Termo Aditivo";"Data Publicação";"Objeto"
"442020";"20000";"Presidência da República";"20101";"Presidência da República";"110001";"SECRETARIA ESPECIAL DE ADMINISTRACAO/PR";"000012022";"07/11/2022";"Objetivo: REEQUILÍBRIO ECONÔMICO-FINANCEIRO DOS PREÇOS CONTRATADOS E PRORROGAÇÃO DO PRAZO DE VIGÊNCIA"
"192020";"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com víncu";"110099";"SUPERINTENDENCIA ADMINISTRACAO EM SAO PAULO";"000012021";"09/11/2021";"Objetivo: O PRESENTE TERMO TEM COMO OBJETO PRORROGAR A VIGÊNCIA DO CONTRATO 19/2020 DE AUXILIAR DE ESCRITÓRIO PARA VÁRIAS UNIDADES DA AGU POR MAIS 12(DOZE) MESES, RESSALVADA A REPACTUAÇÃO 2021."
"192020";"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com víncu";"110099";"SUPERINTENDENCIA ADMINISTRACAO EM SAO PAULO";"000022022";"05/05/2022";"Objetivo: ACRESCER CINCO POSTOS DE AUXILIAR DE ESCRITÓRIO (01 POSTO PARA A PSF SANTOS, 01 POSTO PARA A PRU, 02 POSTOS PARA A PSF ARAÇATUBA E 01 POSTO PARA A PSF SÃO BERNARDO DO CAMPO), COM EFEITOS FINANCEIROS A PARTIR DE 02/05/2022, NO PERCENTUAL DE 16,87%."
"192020";"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com víncu";"110099";"SUPERINTENDENCIA ADMINISTRACAO EM SAO PAULO";"000032022";"31/10/2022";"Objetivo: PRORROGAR O PRAZO DA VIGÊNCIA DO CONTRATO Nº 19/2020, REFERENTE AOS SERVIÇOS DE AUXILIAR DE ESCRITÓRIO PARA A AGU NA PSF SÃO BERNARDO DO CAMPO, PSF OSASCO, CJU/SP, PRF/SP, PSF ARARAQUARA, PSF E PSU PRESIDENTE PRUDENTE, PRU/SP, SAD/SP, PSF E PSU SANTOS E PSF ARAÇATUBA, POR 3 (TRÊS) MESES OU ATÉ QUE ENCERRE O PROCESSO LICITATÓRIO, CONTEMPLANDO-SE, NESTA OCASIÃO, O PERÍODO DE 04/11/2022 A 03/02/2023, NOS TERMOS DO ART. 57, II, DA LEI Nº 8.666, DE 1993."
"212020";"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com víncu";"110099";"SUPERINTENDENCIA ADMINISTRACAO EM SAO PAULO";"000012021";"11/11/2021";"Objetivo: PRORROGAR A VIGÊNCIA DO CONTRATO Nº 21/2020 DE AUXILIAR DE ESCRITÓRIO PARA UNIDADES DA AGU POR MAIS 12 (DOZE) MESES, RESSALVADA A REPACTUAÇÃO 2021."
"212020";"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com víncu";"110099";"SUPERINTENDENCIA ADMINISTRACAO EM SAO PAULO";"000022022";"09/11/2022";"Objetivo: PRORROGAR O PRAZO DA VIGÊNCIA DO CONTRATO Nº 21/2020, REFERENTE AOS SERVIÇOS DE AUXILIAR DE ESCRITÓRIO PARA A AGU NA PSF SÃO BERNARDO DO CAMPO, PSF PIRACICABA, PSF SÃO JOÃO DA BOA VISTA, PRF/SP, PSF PRESIDENTE PRUDENTE, PRU/SP, SAD/SP, E PSF ARAÇATUBA, POR 3 (TRÊS) MESES OU ATÉ QUE ENCERRE O PROCESSO LICITATÓRIO, CONTEMPLANDO-SE, NESTA OCASIÃO, O PERÍODO DE 17/11/2022 A 16/02/2023, NOS TERMOS DO ART. 57, II, DA LEI Nº 8.666, DE 1993."
"552020";"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com víncu";"110161";"SUPERINTENDENCIA DE ADM. NO DISTRITO FEDERAL";"000012021";"23/11/2021";"Objetivo: PRORROGAR O PRAZO DE VIGÊNCIA DO CONTRATO Nº 055/2020-AGU, POR MAIS 12 (DOZE) MESES, TENDO POR TERMO INICIAL O DIA 21 DE NOVEMBRO DE 2021 E FINAL O DIA 20 DE NOVEMBRO DE 2022, BEM COMO REAJUSTAR O VALOR INICIALMENTE CONTRATADO, DE ACORDO COM O QUE DISPÕEM O INCISO II, DO ART. 57, DA LEI Nº 8.666/93 E A CLÁUSULA SEXTA DO TERMO CONTRATUAL INICIAL."
"102020";"20000";"Presidência da República";"20101";"Presidência da República";"110322";"GABINETE DE SEGURANCA INSTITUCIONAL/PR";"000012021";"06/09/2021";"Objetivo: PRORROGAÇÃO DO PRAZO DE VIGÊNCIA"
"102020";"20000";"Presidência da República";"20101";"Presidência da República";"110322";"GABINETE DE SEGURANCA INSTITUCIONAL/PR";"000022022";"29/09/2022";"Objetivo: PRORROGAÇÃO DO PRAZO DE VIGÊNCIA"
"112020";"20000";"Presidência da República";"20101";"Presidência da República";"110322";"GABINETE DE SEGURANCA INSTITUCIONAL/PR";"000012021";"06/10/2021";"Objetivo: PRORROGAÇÃO DO PRAZO DE VIGÊNCIA"
