"N˙mero Contrato";"CÛdigo ”rg„o Superior";"Nome ”rg„o Superior";"CÛdigo ”rg„o";"Nome ”rg„o";"CÛdigo UG";"Nome UG";"N˙mero Apostilamento";"DescriÁ„o Apostilamento";"Valor Apostilamento";"Data de inclus„o";"SituaÁ„o Apostilamento"
"112013";"20113";"MINISTERIO DO PLANEJAMENTO,DESENV. E GEST√O";"20202";"FUNDACAO ESCOLA NACIONAL DE ADM. PUBLICA";"114702";"ENAP-ESCOLA NACIONAL DE ADM.PUBLICA/DF";"00000000000112015";"APOSTILAMENTO DE EMPENHO PARA DESPESAS COM O EXERCÌCIO DE 2015.";"0,00";"27/01/2015";"Encerrado"
"162013";"20000";"PRESIDENCIA DA REPUBLICA";"20214";"AGENCIA NACIONAL DE AVIA«√O CIVIL - ANAC";"113214";"AGENCIA NACIONAL DE AVIACAO CIVIL - ANAC";"000000000001/2014";"Registro da variaÁ„o do valor do Contrato n  16/ANAC/2013 em decorrÍncia da            concess„o de reajuste da ordem de 7,84% tendo por base o IGP-M.";"61,90";"29/05/2014";"Encerrado"
"162013";"20000";"PRESIDENCIA DA REPUBLICA";"20214";"AGENCIA NACIONAL DE AVIA«√O CIVIL - ANAC";"113214";"AGENCIA NACIONAL DE AVIACAO CIVIL - ANAC";"000000000002/2015";"REAJUSTE CONTRATUAL DE 4,10% CONFORME PREVISTO NA CL·USULA NONA DO CONTRATO                ORIGINAL APÛS TRANSCORRIDO PRAZO MÌNIMO DE 12 (DOZE) MESES.";"281,70";"28/08/2015";"Encerrado"
"112013";"44000";"MINISTERIO DO MEIO AMBIENTE";"20701";"INST.BRAS.DO MEIO AMB.E DOS REC.NAT.RENOVAV.";"193118";"IBAMA - SUPERINTENDENCIA ESTADUAL/PR";"000000000001/2017";"DESPESAS DA FATURA DE MARÁO DE 2017, COM DATA DE VENCIMENTO EM 28/03/2017, REFERENTE A SERVIÁOS DE FORNECIMENTO DE ·GUA, TAXAS DE ESGOTO, BEM COMO TA                                 XAS DE SUPRESS„O E RELIGAMENTO DOS MESMOS.";"1098,90";"24/08/2017";"Encerrado"
"112013";"44000";"MINISTERIO DO MEIO AMBIENTE";"20701";"INST.BRAS.DO MEIO AMB.E DOS REC.NAT.RENOVAV.";"193118";"IBAMA - SUPERINTENDENCIA ESTADUAL/PR";"000000000001/2016";"COMPLEMENTAÁ„O ORÁAMENT·RIA PARA COBRIR DESPESAS REFERENTES ‡S FATURAS DE DEZEMBRO/2015 E JANEIRO/2016 INERENTES AO 2  TERMO ADITIVO DO CONTRATO N  11                                                                     /2013.";"399,10";"27/01/2016";"Encerrado"
"92013";"44000";"MINISTERIO DO MEIO AMBIENTE";"20701";"INST.BRAS.DO MEIO AMB.E DOS REC.NAT.RENOVAV.";"193118";"IBAMA - SUPERINTENDENCIA ESTADUAL/PR";"000000000001/2017";"COMPLEMENTA«√O DA NOTA T…CNICA N∫ 074/2016.";"1495,60";"11/04/2017";"Encerrado"
"92013";"44000";"MINISTERIO DO MEIO AMBIENTE";"20701";"INST.BRAS.DO MEIO AMB.E DOS REC.NAT.RENOVAV.";"193118";"IBAMA - SUPERINTENDENCIA ESTADUAL/PR";"00000000000000001";"Pedido de ComplementaÁ„o de CertificaÁ„o OrÁament·ria a Nota TÈcnica 200/2017, para cobrir despesas referentes ‡s faturas de Janeiro a Abril de2018 do contrato nr. 09/2013, firmado com a companhia de saneamento do parana - sanepar, para a prestaÁ„o de serviÁo de fornecimento de ·gua tratada e                                             coleta e tratamento de esgoto.";"1453,70";"02/02/2018";"Encerrado"
"52013";"44000";"MINISTERIO DO MEIO AMBIENTE";"20701";"INST.BRAS.DO MEIO AMB.E DOS REC.NAT.RENOVAV.";"193126";"IBAMA - SUPERINTENDENCIA ESTADUAL/SE";"00000000000052013";"REPACTUAÁ„O DO CONTRATO ADMINISTRATIVO 03/2013, CUJO OBJETO CONSISTE NA PRE    STAÁ„O DOS SERVIÁOS DE APOIO ADMINISTRATIVO, RETROATIVO A JANEIRO/2014.";"34912,90";"16/06/2014";"Encerrado"
"62013";"44000";"MINISTERIO DO MEIO AMBIENTE";"20701";"INST.BRAS.DO MEIO AMB.E DOS REC.NAT.RENOVAV.";"193126";"IBAMA - SUPERINTENDENCIA ESTADUAL/SE";"000000000002/2014";"repactuaÁ„o de contrato administrativo";"7036,10";"12/11/2014";"Encerrado"
"62013";"44000";"MINISTERIO DO MEIO AMBIENTE";"20701";"INST.BRAS.DO MEIO AMB.E DOS REC.NAT.RENOVAV.";"193126";"IBAMA - SUPERINTENDENCIA ESTADUAL/SE";"000000000003/2014";"Ajuste termo de apostilamento 02/2014.";"10,00";"21/11/2014";"Encerrado"
