"Código Órgão";"Nome Órgão";"Código UG";"Nome UG";"Número Contrato";"Código Item Compra";"Descrição Item Compra";"Descrição Complementar Item Compra";"Quantidade Item";"Valor Item"
"52131";"Comando da Marinha";"765704";"POLICLINICA NAVAL NOSSA SENHORA DA GLORIA";"12011";"0";"Não se aplica";"Não se aplica";"1";"49896,00"
"37201";"Fundação Jorge Duprat Figueiredo, de Seguranç";"264007";"FUNDACENTRO/ESCRITORIO AVANCADO NO EST. DO PE";"12012";"2640070500001201200001";"SERVICO DE VIGILANCIA ARMADA";"PRESTAÇÃO DE SERVIÇOS DE VIGILÃNCIA ARMADA.";"1";"151824,00"
"22000";"Ministério da Agricultura, Pecuária e Abastec";"130090";"SUPERINT.FED.DE AGRIC.,PEC.E ABASTECIMENTO/AM";"12012";"1300900500007201100002";"ÓLEO DIESEL.";"ÓLEO DIESEL, NOME OLEO DIESEL PARA CIDADE DE MANAUS";"18000";"38700,00"
"22000";"Ministério da Agricultura, Pecuária e Abastec";"130090";"SUPERINT.FED.DE AGRIC.,PEC.E ABASTECIMENTO/AM";"12012";"1300900500007201100001";"GASOLINA COMUM";"GASOLINA COMUM, NOME GASOLINA - COMBUSTIVEL VEICULO PARA CIDADE DE MANAUS";"20000";"57800,00"
"52121";"Comando do Exército";"160343";"7º BATALHAO DE ENGENHARIA DE COMBATE";"12012";"1603430700001201200001";"FORNECIMENTO DE AGUA E COLETA DE ESGOTO SANITARIO";"SERVIÇO DE FORNECIMENTO DE ÁGUA E TRATAMENTO DE ESGOTO.";"1";"10000,00"
"52121";"Comando do Exército";"160226";"34º BATALHAO DE INFANTARIA MECANIZADO";"12012";"1602260700005201200001";"ASSISTENCIA MEDICA - HOSPITALAR / DOMICILIAR COMPLEMENTAR DESAUDE / CONVÊNIO";"";"1";"500000,00"
"26439";"Instituto Federal de São Paulo";"158581";"IFSP - CAMPUS ARARAQUARA";"12012";"1581540500106201200001";"TELA";"COLOCAÇÃO DE TELAS MOSQUITEIRAS NAS JANELAS DAS INSTALAÇÕES DO CAMPUS ARARAQUA RA DO INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DE SÃO PAULO   IFSP, LOCALIZADO NO RAMAL DE ACESSO ENG.º HEITOR DE SOUZA PINHEIRO, S/N    JARDIM DO S MANACÁS- ARARAQUARA   SP, CONFORME INFORMAÇÕES CONTIDAS NO PROJETO BÁSICO AN EXO I DO EDITAL.";"1";"26850,00"
"44207";"Instituto Chico Mendes de Conservação da Biod";"443035";"INST.CHICO MENDES DE CONS. DA BIO.- ATIBAIA";"12013";"4430350600001201300001";"ENERGIA ELETRICA - FORNECIMENTO MERCADO REGULADO";"DISTRIBUIÇÃO E FORNECIMENTO DE ENERGIA ELÉTRICA EM BAIXA TENSÃO PARA ATENDIMEN TO DE DEMANDAS DAS UNIDADES DO ICMBIO LOCALIZADAS NO ESTADO DE MINAS GERAIS, A POIADAS PELA UAAF/ATIBAIA/DIPLAN/ICMBIO.";"12";"98824,00"
"24000";"Ministério da Ciência, Tecnologia, Inovações ";"240114";"INSTITUTO NACIONAL DO SEMIARIDO";"12013";"2401140600005201300001";"ENERGIA ELETRICA - FORNECIMENTO MERCADO REGULADO";"CONTRATAÇÃO DE SERVIÇO PARA FORNECIMENTO DE ENERGIA ELÉTRICA, NAS ESPECIFICAÇÕ ES CONTIDAS NO PROCESSO, PARA ABASTECIMENTO DA ESTAÇÃO EXPERIMENTAL DO INSA.";"1";"17000,00"
"52121";"Comando do Exército";"160399";"HOSPITAL MILITAR DE AREA DE PORTO ALEGRE";"12013";"1603990700001201300001";"ORTOPEDIA E TRAUMATOLOGIA - ARTICULACAO ESCAPULO - UMERAL";"PRESTAÇÃO DE SERVIÇOS DE ATENDIMENTO MÉDICO-HOSPITALAR NA ÁREA DE ORTOPEDIA E TRAUMATOLOGIA - CIRURGIA DE OMBRO, AOS BENEFICIARIOS DO FUNDO DE SAUDE DO EXÉR CITO, MARINHA, AERONÁUTICA, SERVIDORES CIVIS DO EXÉRCITO BRASILEIRO E SEUS DEP ENDENTES DIRETOS E AOS MILITARES ATENDIDOS PELO FATOR DE CUSTO.";"1";"450000,00"
"26406";"Instituto Federal do Espírito Santo";"158427";"INST.FED. ESPIRITO SANTO/CAMPUS VILA VELHA";"12013";"1584270500001201100039";"MATERIAL / EQUIPAMENTO / COMPONENTE - LABORATÓRIO";"MATERIAL / EQUIPAMENTO / COMPONENTE - LABORATÓRIO, NOME MATERIAL / EQUIPAMENTO  -  LABORATORIO  B";"6";"5280,00"
"37202";"Instituto Nacional do Seguro Social";"511352";"GERENCIA EXECUTIVA ARARAQUARA";"12013";"5113520500003201200080";"'TECLADO MICROCOMPUTADOR'";"'TECLADO MICROCOMPUTADOR', QUANTIDADE TECLAS 104 UN, MATERIAL PLÁSTICO, COR PRETA, CARACTERÍSTICAS ADICIONAIS CARACTERES NA LÍNGUA PORTUGUÊS-BRASIL, TIPO USB/ ABNT2";"30";"477,50"
"22204";"Departamento Nacional de Obras Contra as Seca";"193004";"DNOCS - CEST/RN - NATAL-RN";"12013";"1930040500004201200001";"PRESTACAO DE SERVICO DE LIMPEZA E CONSERVACAO - AREAS EXTER-NAS- 44 HORAS SEMANAIS DIURNAS- PRODUTIVIDADE 1800 A 2700 M2";"SERVIÇOS DE LIMPEZA E HIGIENIZAÇÃO NAS AREAS INTERNAS E EXTERNAS NAS ESTAÇÕES DE PISICULTURA DO DNOCS NO ESTADO DO RIO GRANDE DO NORTE.";"1";"177998,00"
"54000";"Ministério do Turismo - Unidades com vínculo ";"540004";"SPOA/MTUR";"12013";"5400040300001201200001";"PROPAGANDA E PUBLICIDADE";"";"1";"50000000,00"
