"N˙mero Contrato";"CÛdigo ”rg„o Superior";"Nome ”rg„o Superior";"CÛdigo ”rg„o";"Nome ”rg„o";"CÛdigo UG";"Nome UG";"N˙mero Apostilamento";"DescriÁ„o Apostilamento";"Valor Apostilamento";"Data de inclus„o";"SituaÁ„o Apostilamento"
"32017";"20113";"MINISTERIO DO PLANEJAMENTO,DESENV. E GEST√O";"20202";"FUNDACAO ESCOLA NACIONAL DE ADM. PUBLICA";"114702";"ENAP-ESCOLA NACIONAL DE ADM.PUBLICA/DF";"000000000001/2017";"REGISTRAR OS NOVOS VALORES CONTRATUAIS REFERENTES ‡ REPACTUAÁ„O DE PREÁOS EM VIRTUDE DA CELEBRAÁ„O DA CONVENÁ„O COLETIVA DE TRABALHO 2017/2017 ENTRE O      SEAC/DF, REGISTRADA NO MTE EM 08/03/2017, SOB O N˙MERO DF000115/2017.";"26030,40";"25/09/2017";"Encerrado"
"52017";"20000";"PRESIDENCIA DA REPUBLICA";"20214";"AGENCIA NACIONAL DE AVIA«√O CIVIL - ANAC";"113216";"UNIDADE REGIONAL DO RIO DE JANEIRO - ANAC";"00000000000000001";"RepactuaÁ„o de preÁos do contrato 005/2017/ANAC, baseado na CCT SEAC 2017-2018, cujo objeto È a prestaÁ„o de serviÁos de apoio administrativo de mensa geiros, recepcionistas e tÈcnicos em secretariado na ANAC na Cidade do Rio                                                                de Janeiro.";"33136,00";"25/01/2018";"Encerrado"
"12017";"24000";"MINISTERIO DA CIENCIA,TECNOLOGIA E INOVA«√O";"20301";"COMISSAO NACIONAL DE ENERGIA NUCLEAR";"113205";"SAE-CNEN/CENTRO DESENV.TECNOLOGIA NUCLEAR/MG";"000000000005/2018";"RepactuaÁ„o em funÁ„o dos efeitos da CCT-2017/2018, reduÁ„o do valor do componente de custos vale-transporte e reajustes dos insumos com base na varia                                                               Á„o do IPCA.";"28902,80";"08/06/2018";"Encerrado"
"10002017";"49000";"MINISTERIO DO DESENVOLVIMENTO AGRARIO";"22201";"INSTIT. NAC. DE COLONIZACAO E REFORMA AGRARIA";"133088";"SUPERINT. REG. DO DISTRITO FED. E ENTORNO DF";"000000000002/2018";"REPACTUAÁ„O DO VALOR DO CONTRATO REFERENTE A CONVENÁ„O COLETIVA DE TRABALHO                                                               DA CATEGORIA";"15448,30";"17/04/2018";"Encerrado"
"20002017";"49000";"MINISTERIO DO DESENVOLVIMENTO AGRARIO";"22201";"INSTIT. NAC. DE COLONIZACAO E REFORMA AGRARIA";"133088";"SUPERINT. REG. DO DISTRITO FED. E ENTORNO DF";"000000000002/2018";"REPACTUAÁ„O DO VALOR DO CONTRATO DEVIDO CONVENÁ„O COLETIVA DE TRABALHO DA C                                      ATEGORIA DE 2018 CCT N∫ DF00047/2018.";"923,00";"03/04/2018";"Encerrado"
"20002017";"49000";"MINISTERIO DO DESENVOLVIMENTO AGRARIO";"22201";"INSTIT. NAC. DE COLONIZACAO E REFORMA AGRARIA";"133088";"SUPERINT. REG. DO DISTRITO FED. E ENTORNO DF";"000000000001/2017";"AUMENTO NO VALOR DO CONTRATO TENDO EM VISTA CONVENÁ„O COLETIVA DA CATEGORIA                                                   REPACTUAÁ„O DOS VALORES.";"5582,60";"22/06/2017";"Encerrado"
"32017";"25000";"MINISTERIO DA ECONOMIA";"25000";"MINISTERIO DA ECONOMIA";"170045";"SUPERINTEND NCIA DE ADMINISTRA«√O DO MF - RN";"000000000001/2018";"EM CUMPRIMENTO A CONVENÁ„O COLETIVA DE TRABALHO REGISTRO MTE N∫ RN000049/2017, QUE REAJUSTOU OS SAL·RIOS E BENEFÌCIOS DOS TRABALHADORES FILIADOS AO SINDICATO DOS TRABALHADORES E ASSEIO, CONSERVAÁ„O, HIGIENIZAÁ„O E LIMPEZA URB                               ANA DO RIO GRANDE DO NORTE PARA R$ 1.101,08.";"1525,00";"26/02/2018";"Encerrado"
"52017";"25000";"MINISTERIO DA ECONOMIA";"25000";"MINISTERIO DA ECONOMIA";"170078";"SUP.REGIONAL RECEITA FEDERAL 5A.RF/BA";"000000000001/2018";"Reajuste anual dos valores contratuais, conforme previsto na Cl·usula DÈcim                                                      a Quarta do contrato.";"6912,10";"08/05/2018";"Encerrado"
"82017";"25000";"MINISTERIO DA ECONOMIA";"25000";"MINISTERIO DA ECONOMIA";"170103";"DELEGACIA DA REC. FEDERAL EM VITORIA/ES";"00000000000012017";"REPACTUAÁ„O REFERENTE ‡ CONVENÁ„O COLETIVA DE TRABALHO 2017/2018 - SINDILIM                             PE/ES, REGISTRADA NO MTE SOB N  ES000165/2017.";"15827,70";"08/08/2017";"Encerrado"
"82017";"25000";"MINISTERIO DA ECONOMIA";"25000";"MINISTERIO DA ECONOMIA";"170103";"DELEGACIA DA REC. FEDERAL EM VITORIA/ES";"00000000000012018";"REPACTUA«√O E REAJUSTE 2018";"5330,00";"13/07/2018";"Encerrado"
