"Número Contrato";"Código Órgão Superior";"Nome Órgão Superior";"Código Órgão";"Nome Órgão";"Código UG";"Nome UG";"Número Termo Aditivo";"Data Publicação";"Objeto"
"292021";"20000";"Presidência da República";"20101";"Presidência da República";"110001";"SECRETARIA ESPECIAL DE ADMINISTRACAO/PR";"000012022";"23/02/2022";"Objetivo: ACRÉSCIMO DE SER VIÇOS"
"312021";"20000";"Presidência da República";"20101";"Presidência da República";"110001";"SECRETARIA ESPECIAL DE ADMINISTRACAO/PR";"000012022";"19/10/2022";"Objetivo: PRORROGAÇÃO DO PRAZO DE VIGÊNCIA"
"152021";"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com víncu";"110096";"SUPERINTENDENCIA ADMINISTRACAO EM PERNAMBUCO";"000012022";"03/11/2022";"Objetivo: PRORROGAR POR 12 (DOZE) MESES O PRAZO DA VIGÊNCIA CONTRATUAL"
"272021";"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com víncu";"110099";"SUPERINTENDENCIA ADMINISTRACAO EM SAO PAULO";"000012022";"17/11/2022";"Objetivo: PRORROGAR O PRAZO DE VIGÊNCIA DO CONTRATO 27/2021, REFERENTE AOS SERVIÇOS DE LOCAÇÃO DE CENTRAL TELEFÔNICA PARA A AGU CAMPO GRANDE / MS, POR MAIS 12 (DOZE) MESES, CONTEMPLANDO-SE O PERÍODO DE 09/11/2022 A 08/11/2023."
"292021";"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com víncu";"110099";"SUPERINTENDENCIA ADMINISTRACAO EM SAO PAULO";"000012022";"19/09/2022";"Objetivo: ALTERAR A REPRESENTAÇÃO DO CONTRATO Nº 29/2021, ANTES REALIZADA PELAS SRAS. ROSIRENE DONHA CARRIJO CUNHA (CPF 109.207.348-55) E ROSÂNGELA MESCOLOTTE CARRIJO CUNHA (CPF 058.859.398-29), PARA ROSÂNGELA MESCOLOTTE CARRIJO CUNHA (CPF 058.859.398-29), CONSIDERANDO A TRANSFORMAÇÃO DA SOCIEDADE DA IMOBILIÁRIA SISTEMA LTDA, PARA SOCIEDADE LIMITADA UNIPESSOAL, EM VIRTUDE DA CESSÃO E TRANSFERÊNCIA POR VENDA DA TOTALIDADE DAS QUOTAS DE ROSIRENE DONHA CARRIJO CUNHA PARA ROSÂNGELA MESCOLOTTE CARRIJO CUNHA, CONFORME"
"412021";"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com víncu";"110161";"SUPERINTENDENCIA DE ADM. NO DISTRITO FEDERAL";"000012022";"24/10/2022";"Objetivo: PRORROGAR O PRAZO DE VIGÊNCIA DO CONTRATO Nº 041/2021-AGU, POR MAIS 12 (DOZE) MESES, TENDO POR TERMO INICIAL O DIA 06 DE NOVEMBRO  DE 2022 E POR TERMO FINAL O DIA 05 DE NOVEMBRO DE 2023, BEM COMO PROCEDER AO REAJUSTE DO VALOR INICIALMENTE CONTRATADO, NOS TERMOS DO INCISO II, DO ARTIGO 57, DA LEI Nº 8.666/1993 E DA CLÁUSULA SEXTA DO TERMO INICIAL."
"432021";"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com víncu";"110161";"SUPERINTENDENCIA DE ADM. NO DISTRITO FEDERAL";"000012022";"15/06/2022";"Objetivo: ACRESCER, A PARTIR 20/06/2022, 07 (SETE) POSTOS DE SERVIÇOS DE TÉCNICO EM SECRETÁRIADO PARA A UNIDADE DA ADVOCACIA-GERAL DA UNIÃO (AGU) - BRASÍLIA/DF, CORRESPONDENDO A UM AUMENTO DE 13,09% (TREZE INTEIROS E NOVE CENTESÍMOS POR CENTO) DO VALOR INICIAL ATUALIZADO DO CONTRATO."
"62021";"20000";"Presidência da República";"20101";"Presidência da República";"110322";"GABINETE DE SEGURANCA INSTITUCIONAL/PR";"000012022";"05/10/2022";"Objetivo: PRORROGAÇÃO DO PRAZO DE VIGÊNCIA"
"62021";"52000";"Ministério da Defesa";"52000";"Ministério da Defesa - Unidades com vínculo d";"110402";"ESCOLA SUPERIOR DE GUERRA";"000012022";"30/11/2022";"Objetivo: O OBJETO DO PRESENTE INSTRUMENTO É A PRORROGAÇÃO CONTRATUAL POR MAIS 12 MESES"
"192021";"52000";"Ministério da Defesa";"52000";"Ministério da Defesa - Unidades com vínculo d";"110404";"DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD";"000192022";"27/05/2022";"Objetivo: RETIFICAR AS CLÁUSULAS PRIMEIRA, SEGUNDA, TERCEIRA E SEXTA, DO TERMO DE CONTRATO Nº 019/2021-MD, PARA ADEQUÁ-LA ÀS ESPECIFICAÇÕES PREVISTAS NO ARTIGO 3º, INCISO I, DO ANEXO À RESOLUÇÃO ANATEL Nº 73/98 E AO ÍNDICE DE REAJUSTE ADEQUADO"
"192021";"52000";"Ministério da Defesa";"52000";"Ministério da Defesa - Unidades com vínculo d";"110404";"DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD";"000532022";"03/11/2022";"Objetivo: 1.1. PRORROGAR O PRAZO DE VIGÊNCIA CONTRATUAL POR 12 (DOZE) MESES, CONTADOS DE 02/11/2022 À 01/11/2023.1.2. RATIFICAR O VALOR GLOBAL DA CONTRAPRESTAÇÃO DOS SERVIÇOS EM R$ 1.194.492,96 (UM MILHÃO, CENTO E NOVENTA E QUATRO MIL, QUATROCENTOS E NOVENTA E DOIS REAIS E NOVENTA E SEIS CENTAVOS)."
"202021";"52000";"Ministério da Defesa";"52000";"Ministério da Defesa - Unidades com vínculo d";"110404";"DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD";"000472022";"11/10/2022";"Objetivo: PRORROGAR O PRAZO DA VIGÊNCIA CONTRATUAL POR MAIS 12 (DOZE) MESES."
