"Código Órgão";"Nome Órgão";"Código UG";"Nome UG";"Número Contrato";"Código Item Compra";"Descrição Item Compra";"Descrição Complementar Item Compra";"Quantidade Item";"Valor Item"
"26443";"Empresa Brasileira de Serviços Hospitalares";"155009";"HOSPITAL UNIVERSITARIO DE BRASILIA";"0";"1550090500060202100001";"ÁLCOOL ISOPROPÍLICO";"ÁLCOOL ISOPROPÍLICO, CONCENTRAÇÃO 70% V/V, APRESENTAÇÃO LOÇÃO ALCOÓLICA EM ESPUMA, CARACTERÍSTICA ADICIONAL C/ EMOLIENTE E UMECTANTE";"4000";"53,53"
"52111";"Comando da Aeronáutica";"120638";"BASE AEREA DE CAMPO GRANDE";"2021";"0";"Inválido";"Inválido";"334";"302,49"
"26409";"Instituto Federal de Minas Gerais";"158122";"INST.FED.DE EDUC.,CIENC.E TEC.DE MINAS GERAIS";"2021";"1581220600204202100001";"SEGURO / GARANTIA";"CONTRATAÇÃO DE SEGURO PATRIMONIAL EM VISTA DA NECESSIDADE DE PROTEGER E PRESER VAR O PATRIMÔNIO DAS INSTALAÇÕES, MOBILIÁRIO E EQUIPAMENTOS DO CAMPUS AVANÇADO  ARCOS DO IFMG EM DECORRÊNCIA DE SINISTROS, ROUBO, DESCARGAS ELÉTRICAS, ETC";"1";"2120,68"
"52121";"Comando do Exército";"160028";"35º BATALHAO DE INFANTARIA";"2021";"1600280700004202100029";"FORNECIMENTO / TRANSPORTE DE AGUA - CARRO PIPA";"CREDENCIAMENTO DE SERVIÇO AUTÔNOMO PARA COLETA, TRANSPORTE E DISTRIBUIÇÃO DE Á GUA POTÁVEL NO SEMIÁRIDO BRASILEIRO, CREDENCIAMENTO POR 12 (DOZE) MESES E CONT RATAÇÃO POR 04 MESES (MEDIANTE SORTEIO) PARA TRABALHAR NOS MESES DE JANEIRO, F EVEREIRO, MARÇO E ABRIL.";"1";"80000,00"
"52111";"Comando da Aeronáutica";"120628";"GRUPAMENTO DE APOIO DE BELEM";"12013";"0";"Inválido";"Inválido";"1";"7000,00"
"30802";"Departamento de Polícia Rodoviária Federal";"200116";"SUPERINTENDENCIA DA PRF NO RIO DE JANEIRO";"12015";"2001160600001201500001";"ENERGIA ELETRICA - FORNECIMENTO MERCADO REGULADO";"CONTRATAÇÃO DOS SERVIÇOS DE FORNECIMENTO DE ENERGIA ELÉTRICA PARA DELEGACIAS E  POSTOS DESTA 5ª SRPRF/RJ, A SER EXECUTADO PELA AMPLA ENERGIA E SERVIÇOS S/A.";"1";"7174,42"
"26410";"Instituto Federal do Norte de Minas Gerais";"155854";"INST. FED. NORTE DE MG / CAMPUS TEOFILO OTONI";"12018";"1558540200001201800001";"CANTINA / BAR / LANCHONETE / REFEICAO RAPIDA / RESTAURANTE";"";"12";"238,79"
"26201";"Colégio Pedro II";"155627";"COLEGIO PEDRO II - CAMPUS REALENGO II";"12019";"1556270500001201800001";"EXTINTOR INCÊNDIO";"EXTINTOR INCÊNDIO, CAPACIDADE 6 KG, MATERIAL CARGA GÁS CARBÔNICO, CARACTERÍSTICAS ADICIONAIS COM SUPORTE FIXAÇÃO PAREDE E ADESIVO SINALIZAÇÃO V";"12";"3843,33"
"52131";"Comando da Marinha";"791500";"COMANDO DA FORCA DE SUBMARINOS";"12020";"0";"Inválido";"Inválido";"1";"37377,16"
"22000";"Ministério da Agricultura, Pecuária e Abastec";"130011";"INSTITUTO NACIONAL DE METEOROLOGIA";"12020";"1300110500001202000001";"CANTINA / BAR / LANCHONETE / REFEICAO RAPIDA / RESTAURANTE";"O OBJETO DESTA LICITAÇÃO É A CESSÃO DE USO, MEDIANTE SUBLOCAÇÃO DE ÁREA FÍSICA  A TÍTULO ONEROSO, DE UMA ÁREA, MEDINDO (86,20M²), SITUADA NAS DEPENDÊNCIAS DO  PRÉDIO DO INSTITUTO NACIONAL DE METEOROLOGIA   INMET, IMÓVEL DE PROPRIEDADE D A UNIÃO, LOCALIZADO NA 4ª AVENIDA RUA G VIA S1, SETOR SUDOESTE CAMPUS INMET, C EP: 70.680-900, BRASÍLIA - DF, COM A UTILIZAÇÃO DAS INSTALAÇÕES JÁ EXISTENTES,  COMPOSTA POR, SALÃO PARA RESTAURANTE E COZINHA, CONFORME ESPECIFICAÇÕES É CON DIÇÕES DESCRITAS NESTE EDITAL E TERMO DE REFERÊNCIA.";"1";"538,80"
