"Código Órgão";"Nome Órgão";"Código UG";"Nome UG";"Número Contrato";"Código Item Compra";"Descrição Item Compra";"Descrição Complementar Item Compra";"Quantidade Item";"Valor Item"
"52121";"Comando do Exército";"160167";"53º BATALHAO DE INFANTARIA DE SELVA";"12010";"1601670700006201200001";"ASSISTENCIA MEDICA - HOSPITALAR / DOMICILIAR COMPLEMENTAR DESAUDE / CONVÊNIO";"PAGAMENTO DE SERVIÇO MÉDICO HOSPITALAR.";"1";"0,00"
"52131";"Comando da Marinha";"723000";"CENTRO DE ANALISES DE SISTEMAS NAVAIS";"12011";"0";"Não se aplica";"Não se aplica";"1";"101400,00"
"52121";"Comando do Exército";"160082";"PREFEITURA MILITAR DE BRASILIA";"12012";"4100030500011201100001";"LOCACAO EQUIPAMENTOS DE IMPRESSAO";"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA A PRESTAÇÃO DE SERVIÇOS CONTÍNUOS DE  REPROGRAFIA E IMPRESSÃO, COM O FORNECIMENTO DE COPIADORAS E/OU IMPRESSORAS DI GITAIS, QUE DEVERÃO SER NOVAS E DE PRIMEIRO USO, EM LINHA DE FABRICAÇÃO, PARA REPRODUÇÃO DE CÓPIAS E IMPRESSÕES MONOCROMÁTICAS, E FORNECIMENTO DE TODOS OS I NSUMOS NECESSÁRIOS À EXECUÇÃO DOS SERVIÇOS (EXCETO O PAPEL E A MÃO DE OBRA DE OPERAÇÃO), ALÉM DE ASSISTÊNCIA TÉCNICA ESPECIALIZADA E REPOSIÇÃO DE PEÇAS ORIG IN";"10";"54286,50"
"52121";"Comando do Exército";"160082";"PREFEITURA MILITAR DE BRASILIA";"12012";"4100030500011201100002";"IMPRESSAO ELETRONICA - LASER / JATO TINTA";"PRESTAÇÃO DE SERVIÇO DE CÓPIAS/IMPRESSÕES MONOCROMÁTICAS..";"60000";"1644,00"
"26427";"Instituto Federal da Bahia";"158403";"INST. FED. DA BAHIA/CAMPUS CAMACARI";"12012";"1584030500001201200001";"FORNECIMENTO DE REFEICOES / LANCHES / SALGADOS / DOCES";"FORNECIMENTO DE 100 REFEIÇÕES (TIPO QUENTINHAS) DIARIAMENTE, EM 200 DIAS LETIV OS, ACOMPANHADO DE SUCO (COPO DE 200 ML), TOTALIZANDO 20.000 REFEIÇÕES, PARA O S ESTUDANTES EM SITUAÇÃO DE MAIOR VULNERABILIDADE SOCIAL.  LOCAL DA ENTREGA: C AMPUS CAMAÇARI";"20000";"150000,00"
"26427";"Instituto Federal da Bahia";"158403";"INST. FED. DA BAHIA/CAMPUS CAMACARI";"12012";"1584030500001201200002";"FORNECIMENTO DE REFEICOES / LANCHES / SALGADOS / DOCES";"FORNECIMENTO DE 10 REFEIÇÕES (TIPO QUENTINHAS) DIARIAMENTE, EM 200 DIAS LETIVO S, ACOMPANHADO DE SUCO (COPO DE 200 ML) TOTALIZANDO 2.000 REFEIÇÕES, PARA OS E STUDANTES  EM SITUAÇÃO DE MAIOR VULNERABILIDADE SOCIAL.  LOCAL ENTREGA: NÚCLEO  AVANÇADO DE DIAS D ÁVILA";"2000";"15000,00"
"52121";"Comando do Exército";"160264";"111 COMPANHIA DE APOIO DE MATERIAL BELICO";"12012";"1602640600004201300001";"LOCACAO EQUIPAMENTOS DE IMPRESSAO";"LOCAÇÃO DE MÁQUINA COPIADORA.";"2";"600,00"
"52131";"Comando da Marinha";"783602";"ESCOLA DE APREND.-MARINHEIROS DE PERNAMBUCO";"12012";"0";"Não se aplica";"Não se aplica";"1";"290000,00"
"52121";"Comando do Exército";"160082";"PREFEITURA MILITAR DE BRASILIA";"12013";"1600820600011201300001";"ENERGIA ELETRICA - FORNECIMENTO MERCADO REGULADO";"PRESTAÇÃO DE SERVIÇO DE ENERGIA ELÉTRICA PARA A PREFEITURA MILITAR DE BRASÍLIA  NA ÁREA DA ADMINISTRAÇÃO DO SETOR MILITAR URBANO, DISTRITO FEDERAL.";"60";"3831,03"
"26439";"Instituto Federal de São Paulo";"158578";"IFSP - CAMPUS HORTOLANDIA";"12013";"1581540500017201200173";"MODULO DIDÁTICO";"O SISTEMA DEVERÁ PERMITIR O ESTUDO E TREINAMENTO DE INSTALAÇÃO E PROGRAMAÇÃO D OS DIFERENTES DISPOSITIVOS, POSSIBILITANDO A REALIZAÇÃO DE INSTALAÇÕES COMPLET AS DE NO MÍNIMO: SISTEMAS DE ILUMINAÇÃO AUTOMÁTICA, CORTINAS AUTOMÁTICAS, CONT ROLE AUTOMÁTICO DE SISTEMA DE AQUECIMENTO E AR CONDICIONADO, SISTEMA DE SEGURA NÇA ANTI-FURTO E ANTI-INCÊNDIO, PERMITINDO A CRIAÇÃO DE CENÁRIOS ENTRE OUTROS.  TODO O SISTEMA DEVERÁ SER MONITORADO POR TELAS REPRESENTANDO OS EDIFÍCIOS E/O U RESIDÊNCIAS. O SISTEMA DEVERÁ SER CONSTITUÍDO POR UM BARRAMENTO DE BAIXA POT ÊNCIA NO QUAL SÃO INSTALADOS OS MÓDULOS PARA O CONTROLE E ADMINISTRAÇÃODE DIS POSITIVOS INTELIGENTES DISTRIBUÍDOS POR TODO O EDIFÍCIO, QUE DEVERÃO COMUNICAR  ENTRE SI. AS CARGAS (LÂMPADAS, MOTORES, VÁLVULAS, ETC.) SERÃO LIGADAS A REDE ELÉTRICA POR MEIO DE INFORMAÇÕES RECEBIDAS PELOS DISPOSITIVOS ATRAVÉS DO BARRA MENTO. O SISTEMA DEVERÁ SER COMPOSTO POR MÓDULOS QUE DEVERÃO SER FIXADOS SEM A  UTILIZAÇÃO DE PARAFUSOS OU OUTROS DISPOSITIVOS EM UM BASTIDOR DE TRABALHO E S OFTWARES DE PROGRAMAÇÃO E GERENCIAMENTO DO SISTEMA. NA PROPOSTA DEVERÁ APRESEN TADA A COMPOSIÇÃO, QUANTIDADE E   (MAIS INFORMAÇÕES - VIDE ANEXO II - TERMO DE  REFERÊNCIA)";"1";"63989,90"
"45283";"Instituto de Resseguros do Brasil";"178007";"INSTITUTO DE RESSEGUROS DO BRASIL";"12013";"0";"Não se aplica";"Não se aplica";"1";"54060,00"
"26427";"Instituto Federal da Bahia";"158411";"INST. FED. DA BAHIA/CAMPUS SALVADOR";"12013";"1584110500026201200001";"CONFECCAO / INSTALACAO FAIXAS";"CONTRATAÇÃO DE EMPRESA PARA CONFECÇÃO  E INSTALAÇÃO DE FAIXAS,LETREIROS,E BANN ER PARA O IFBA - CAMPUS DE SALVADOR.";"1";"16350,00"
"36212";"Agência Nacional de Vigilância Sanitária";"253026";"COORD.VIG.SANIT.DE PORTOS,AER.E FRONTEIRAS-RO";"12013";"2530260500002201300002";"SERVICO DE VIGILANCIA ARMADA";"PRESTAÇÃO DE SERVIÇOS DE VIGILANCIA E ESEGURANÇA ARMADA INCUINDO COLETE À PROV A DE BALA DE 24H00MIN, ININTERRUPTAS DE TRABALHO - NOTURNA ARMADA PARA ATENDER  A SEDE DA CVPAF/RO, EM PORTO VELHO/RO.";"1";"94500,00"
