"Código Órgão";"Nome Órgão";"Código UG";"Nome UG";"Número Contrato";"Código Item Compra";"Descrição Item Compra";"Descrição Complementar Item Compra";"Quantidade Item";"Valor Item"
"53000";"Ministério do Desenvolvimento Regional - Unid";"530001";"MDR/SE/SAD/ADMINISTRACAO GERAL";"2019";"5300010500001201800003";"MANUTENCAO DE VEICULOS LEVES / PESADOS";"MANUTENÇÃO PREVENTIVA E CORRETIVA E MECÂNICA GERAL VEÍCULOS CHEVROLET.";"50459208";"0,13"
"53000";"Ministério do Desenvolvimento Regional - Unid";"530001";"MDR/SE/SAD/ADMINISTRACAO GERAL";"2019";"0";"Inválido";"Inválido";"18260420";"0,06"
"53000";"Ministério do Desenvolvimento Regional - Unid";"530001";"MDR/SE/SAD/ADMINISTRACAO GERAL";"2019";"5300010500001201800001";"MANUTENCAO DE VEICULOS LEVES / PESADOS";"MANUTENÇÃO PREVENTIVA E CORRETIVA E MECÂNICA GERAL VEÍCULOS FORD.";"130473864";"0,01"
"53000";"Ministério do Desenvolvimento Regional - Unid";"530001";"MDR/SE/SAD/ADMINISTRACAO GERAL";"2019";"0";"Inválido";"Inválido";"822406";"0,55"
"53000";"Ministério do Desenvolvimento Regional - Unid";"530001";"MDR/SE/SAD/ADMINISTRACAO GERAL";"2019";"0";"Inválido";"Inválido";"433100";"0,55"
"53000";"Ministério do Desenvolvimento Regional - Unid";"530001";"MDR/SE/SAD/ADMINISTRACAO GERAL";"2019";"0";"Inválido";"Inválido";"62545616";"0,02"
"53000";"Ministério do Desenvolvimento Regional - Unid";"530001";"MDR/SE/SAD/ADMINISTRACAO GERAL";"2019";"0";"Inválido";"Inválido";"19144532";"0,06"
"53000";"Ministério do Desenvolvimento Regional - Unid";"530001";"MDR/SE/SAD/ADMINISTRACAO GERAL";"2019";"0";"Inválido";"Inválido";"572176";"0,55"
"53000";"Ministério do Desenvolvimento Regional - Unid";"530001";"MDR/SE/SAD/ADMINISTRACAO GERAL";"2019";"5300010500001201800002";"MANUTENCAO DE VEICULOS LEVES / PESADOS";"MANUTENÇÃO PREVENTIVA E CORRETIVA E MECÂNICA GERAL VEÍCULOS FIAT.";"58722494";"0,13"
"53000";"Ministério do Desenvolvimento Regional - Unid";"530001";"MDR/SE/SAD/ADMINISTRACAO GERAL";"2019";"0";"Inválido";"Inválido";"1235054";"0,55"
"52121";"Comando do Exército";"160402";"6 BATALHAO DE ENGENHARIA DE COMBATE";"12018";"1604020700002201800001";"EMBALAGEM / ETIQUETAGEM / POSTAGEM - ENCOMENDA";"PRESTAÇÃO DE SERVIÇOS POSTAIS E FORNECIMENTOS DE SELOS PARA CORRESPONDÊNCIA.";"1";"45000,00"
"26278";"Fundação Universidade Federal de Pelotas";"154047";"FUNDACAO UNIVERSIDADE FEDERAL DE PELOTAS";"12018";"0";"Inválido";"Inválido";"60";"1215,08"
