"Número Contrato";"Código Órgão Superior";"Nome Órgão Superior";"Código Órgão";"Nome Órgão";"Código UG";"Nome UG";"Número Apostilamento";"Descrição Apostilamento";"Valor Apostilamento";"Data de inclusão";"Situação Apostilamento"
"62013";"20000";"PRESIDENCIA DA REPUBLICA";"20000";"PRESIDENCIA DA REPUBLICA";"110590";"SECRETARIA DE AVIACAO CIVIL_DA PRESIDENCIA";"00000000000000001";"Atualização do valor do Contrato nº 06/SAC-PR/2013.";"567799,90";"16/10/2015";"Encerrado"
"262013";"20000";"PRESIDENCIA DA REPUBLICA";"20214";"AGENCIA NACIONAL DE AVIAÇÃO CIVIL - ANAC";"113214";"AGENCIA NACIONAL DE AVIACAO CIVIL - ANAC";"000000000005/2018";"O TERMO DE APOSTILAMENTO TEM POR OBJETO O REGISTRO DA VARIAçãO DO VALOR DO CONTRATO EM R$ 10.210,13 DECORRENTE DA REPACUTAçãO EM RAZãO DA HOMOLOGAçãO                              DA CONVENçãO COLETIVA DE TRABALHO  2018/2018.";"10210,10";"02/03/2018";"Encerrado"
"262013";"20000";"PRESIDENCIA DA REPUBLICA";"20214";"AGENCIA NACIONAL DE AVIAÇÃO CIVIL - ANAC";"113214";"AGENCIA NACIONAL DE AVIACAO CIVIL - ANAC";"00000000000042017";"TERMO DE APOSTILAMENTO TEM POR OBJETO O REGISTRO DA VARIAçãO DO VALOR DO CONTRATO Nº 26/ANAC/2013, SENDO ACRESCIDO A ESTE O VALOR TOTAL DE R$ 21.030,21 DEVIDO EM RAZãO DA HOMOLOGAçãO DA CONVENçãO COLETIVA DE TRABALHO 2017/201                                                                         7.";"21030,20";"04/04/2017";"Encerrado"
"262013";"20000";"PRESIDENCIA DA REPUBLICA";"20214";"AGENCIA NACIONAL DE AVIAÇÃO CIVIL - ANAC";"113214";"AGENCIA NACIONAL DE AVIACAO CIVIL - ANAC";"000000000003/2016";"Concessão de repactuação em virtude do registro da CCT 2016/2016 para as categorias de copeira e garçom. Consta ainda no presente apostilamento a compensação financeira para a majoração do benefício do 'Auxílio Transporte' em 20 de setembro de 2015, além da eliminação dos custos envolvidos com o ben efício 'Aviso Prévio Trabalhado' a partir de 01 de agosto de 2014, data da";"22271,40";"11/03/2016";"Encerrado"
"262013";"20000";"PRESIDENCIA DA REPUBLICA";"20214";"AGENCIA NACIONAL DE AVIAÇÃO CIVIL - ANAC";"113214";"AGENCIA NACIONAL DE AVIACAO CIVIL - ANAC";"000000000002/2015";"trata-se da segunda repactuação ao contrato de copeiragem, postos de servico de garçom e copeira, em razão da homologação da cct 2015/2015 entre sindserviços/df e seac/df, com efeitos financeiros retroativos a janeiro de 2015";"23126,40";"04/03/2015";"Encerrado"
"262013";"20000";"PRESIDENCIA DA REPUBLICA";"20214";"AGENCIA NACIONAL DE AVIAÇÃO CIVIL - ANAC";"113214";"AGENCIA NACIONAL DE AVIACAO CIVIL - ANAC";"000000000001/2014";"Registro da variação do valor do Contrato n  26/ANAC/2013, em decorrência da concessão da 1ª repactuação de valores, em função da CCT 2014/2014 SINDIS                                                      ERVIÇOS/DF X SEAC/DF.";"22688,40";"07/04/2014";"Encerrado"
"372013";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"130058";"LABORATÓRIO FEDERAL DE DEFESA AGROPECUÁRIA";"000000000025/2016";"Reajuste de preços conforme previsto no contrato nº 37/2013.";"8728,50";"12/09/2016";"Encerrado"
"182013";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"130103";"LABORATÓRIO FEDERAL DE DEFESA AGROPECURIO/RS";"000000000001/2014";"REEQUILIBRIO ECONôMICO FINANCEIRO DO CONTRATO 18/2013.";"6287,60";"11/04/2014";"Encerrado"
"222013";"49000";"MINISTERIO DO DESENVOLVIMENTO AGRARIO";"22201";"INSTIT. NAC. DE COLONIZACAO E REFORMA AGRARIA";"373047";"SUPERINTENDENCIA REGIONAL DA PARAIBA";"00000000000000001";"RENOVAçãO DE CONTRATO ATRAVES DE ALTERAçãO DE 22002/2015 ADITIVO";"155520,00";"25/07/2015";"Efetivado"
"42013";"25000";"MINISTERIO DA ECONOMIA";"25000";"MINISTERIO DA ECONOMIA";"170018";"SUP.REGIONAL RECEITA FEDERAL 1A.RF/DF";"00000000000000004";"repactuação prevista no Acórdão do Dissídio Coletivo da Convenção Coletiva                                                             do ano de 2017";"18060,70";"06/07/2018";"Efetivado"
