"N˙mero Contrato";"CÛdigo ”rg„o Superior";"Nome ”rg„o Superior";"CÛdigo ”rg„o";"Nome ”rg„o";"CÛdigo UG";"Nome UG";"N˙mero Termo Aditivo";"Data PublicaÁ„o";"Objeto"
"1092015";"20000";"PRESIDENCIA DA REPUBLICA";"20213";"EMPRESA BRAS.DE INFRA-ESTRUTURA AEROPORTU¡RIA";"125030";"AEROPORTO DE CAMPO GRANDE - SBCG";"12015";"15/02/2017";"Objeto: Reajuste de vale transporte a partir de 03/01/2016, repactuaÁ„o cct 2016/2017 a partir de 01/03/2016, depreciaÁ„o de equip. e pequenos utensÌlios e alteraÁ„o da forma de processamento das repactuaÁıes alterando o subitem 4.8 do contrato"
"1102015";"20000";"PRESIDENCIA DA REPUBLICA";"20213";"EMPRESA BRAS.DE INFRA-ESTRUTURA AEROPORTU¡RIA";"125012";"AEROPORTO DO RJ - SANTOS DUMONT/SBRJ";"12015";"10/11/2017";"Objeto: Revis„o de tarifa de transporte p˙blico a partir de 02/01/2016 e repactuaÁ„o de s·larios e benefÌcios com base na cct 2016/2017 a partir de 01/03/2016."
"1102015";"20000";"PRESIDENCIA DA REPUBLICA";"20213";"EMPRESA BRAS.DE INFRA-ESTRUTURA AEROPORTU¡RIA";"125012";"AEROPORTO DO RJ - SANTOS DUMONT/SBRJ";"22015";"16/02/2018";"Objeto: AcrÈscimo contratual de 5 postos contÌnuos e permanentes, acrescido de 8 postos no perÌodo de 10 a 18/02/2018 para reforÁo especÌfico no carnaval; a partir de 19/02/2018, supress„o dos 8 postos extras, restando os 5 postos contÌnuos e permanentes"
"1112015";"20000";"PRESIDENCIA DA REPUBLICA";"20213";"EMPRESA BRAS.DE INFRA-ESTRUTURA AEROPORTU¡RIA";"125260";"AEROPORTO PALMAS/SBPJ";"12015";"27/01/2017";"Objeto: AlteraÁ„o da cl·usula 4.8 e repactuaÁ„o."
"1432015";"32000";"MINISTERIO DE MINAS E ENERGIA";"91081";"FURNAS-CENTRAIS ELETRICAS S.A.";"926524";"AMAZONAS GERA«√O E TRANSMISS√O DE ENERGIA S.A";"12017";"01/02/2017";"OBJETO: ContrataÁao do escritorio de advocacia Decio Freire & advogados S/C para a prestaÁao de serviÁos juridicos"
"1432015";"32000";"MINISTERIO DE MINAS E ENERGIA";"91081";"FURNAS-CENTRAIS ELETRICAS S.A.";"926524";"AMAZONAS GERA«√O E TRANSMISS√O DE ENERGIA S.A";"12018";"11/12/2017";"OBJETO: ContrataÁao d escritorio de advocacia Decio Freire &_Advogados Associados s/c para a prestaÁao de serviÁos juridicos."
"1432015";"32000";"MINISTERIO DE MINAS E ENERGIA";"91081";"FURNAS-CENTRAIS ELETRICAS S.A.";"926524";"AMAZONAS GERA«√O E TRANSMISS√O DE ENERGIA S.A";"22018";"02/02/2018";"OBJETO: ContrataÁao de escritoriode advocacia decio freire"
"1432015";"32000";"MINISTERIO DE MINAS E ENERGIA";"91081";"FURNAS-CENTRAIS ELETRICAS S.A.";"926524";"AMAZONAS GERA«√O E TRANSMISS√O DE ENERGIA S.A";"32018";"29/01/2019";"OBJETO: ProrogaÁao do prazo de execuÁao e vigenciA"
"1542015";"32000";"MINISTERIO DE MINAS E ENERGIA";"91081";"FURNAS-CENTRAIS ELETRICAS S.A.";"926524";"AMAZONAS GERA«√O E TRANSMISS√O DE ENERGIA S.A";"12016";"06/01/2017";"OBJETO: AquisiÁao de agua mineral"
"2262015";"41000";"MINISTERIO DAS COMUNICACOES";"41000";"MINISTERIO DAS COMUNICACOES";"925150";"TELECOMUNICA«’ES BRASILEIRAS S.A.";"12015";"26/10/2016";"OBJETO: ProrrogaÁ„o do prazo de vigÍncia do contrato original pelo periodo de 12 meses, a contar de 30/10/2016"
