"N˙mero Contrato";"CÛdigo ”rg„o Superior";"Nome ”rg„o Superior";"CÛdigo ”rg„o";"Nome ”rg„o";"CÛdigo UG";"Nome UG";"N˙mero Termo Aditivo";"Data PublicaÁ„o";"Objeto"
"112020";"41000";"MINISTERIO DAS COMUNICACOES";"41000";"MINISTERIO DAS COMUNICACOES";"925150";"TELECOMUNICA«’ES BRASILEIRAS S.A.";"12020";"02/10/2020";"OBJETO: AplicaÁ„o de reequilÌbrio econÙmico-financeiro, com alteraÁ„o valorativa do Contrato Original mediante o reajustamento no percentual de 17,12% do valor original."
"82020";"12000";"JustiÁa Federal";"12000";"JustiÁa Federal - Unidades com vÌnculo direto";"090030";"TRIBUNAL REGIONAL FEDERAL DA 4A.REGIAO";"12020";"09/06/2020";"OBJETO: SubstituiÁ„o do estabelecimento que ir· prestar serviÁos de maanutenÁ„o preventiva e corretiva do sistema de detecÁ„o de alarme de incÍndio."
"262020";"20000";"PresidÍncia da Rep˙blica";"20101";"PresidÍncia da Rep˙blica";"110001";"SECRETARIA ESPECIAL DE ADMINISTRACAO/PR";"000012021";"28/04/2021";"Objetivo: PRORROGA«√O DO PRAZO DE VIG NCIA PARA O SERVI«O DE SUPORTE E GARANTIA"
"262020";"20000";"PresidÍncia da Rep˙blica";"20101";"PresidÍncia da Rep˙blica";"110001";"SECRETARIA ESPECIAL DE ADMINISTRACAO/PR";"000012021";"28/04/2021";"Objetivo: PRORROGA«√O DO PRAZO DE VIG NCIA PARA O SERVI«O DE SUPORTE E GARANTIA"
"262020";"20000";"PresidÍncia da Rep˙blica";"20101";"PresidÍncia da Rep˙blica";"110001";"SECRETARIA ESPECIAL DE ADMINISTRACAO/PR";"000012021";"28/04/2021";"Objetivo: PRORROGA«√O DO PRAZO DE VIG NCIA PARA O SERVI«O DE SUPORTE E GARANTIA"
"262020";"20000";"PresidÍncia da Rep˙blica";"20101";"PresidÍncia da Rep˙blica";"110001";"SECRETARIA ESPECIAL DE ADMINISTRACAO/PR";"000022022";"06/05/2022";"Objetivo: PRORROGA«√O DO PRAZO DE VIG NCIA PARA O SERVI«O DE SUPORTE E GARANTIA"
"272020";"20000";"PresidÍncia da Rep˙blica";"20101";"PresidÍncia da Rep˙blica";"110001";"SECRETARIA ESPECIAL DE ADMINISTRACAO/PR";"000012022";"19/05/2022";"Objetivo: PRORROGA«√O DO PRAZO DE VIG NCIA  E REEQUILÕBRIO ECON‘MICO-FINANCEIRO"
"42020";"63000";"Advocacia-Geral da Uni„o";"63000";"Advocacia-Geral da Uni„o - Unidades com vÌncu";"110096";"SUPERINTENDENCIA ADMINISTRACAO EM PERNAMBUCO";"000012021";"31/03/2021";"Objetivo: PRORROGA«√O DA VIG NCIA CONTRATUAL POR 12 MESES E ALTERA«√O DA RAZ√O SOCIAL DA CONTRATADA"
"42020";"63000";"Advocacia-Geral da Uni„o";"63000";"Advocacia-Geral da Uni„o - Unidades com vÌncu";"110096";"SUPERINTENDENCIA ADMINISTRACAO EM PERNAMBUCO";"000022022";"29/03/2022";"Objetivo: PROOROGAR POR 12 (DOZE) MESES O PRAZO DA VIG NCIA CONTRATUAL."
"42020";"63000";"Advocacia-Geral da Uni„o";"63000";"Advocacia-Geral da Uni„o - Unidades com vÌncu";"110097";"SUPERINTENDENCIA ADMINISTRACAO NO RIO G. SUL";"000012021";"12/05/2021";"Objetivo: PRORROGAR O PRAZO DE VIG NCIA DO CONTRATO ORIGINAL POR MAIS 12 (DOZE) MESES"
"42020";"63000";"Advocacia-Geral da Uni„o";"63000";"Advocacia-Geral da Uni„o - Unidades com vÌncu";"110097";"SUPERINTENDENCIA ADMINISTRACAO NO RIO G. SUL";"000022022";"06/04/2022";"Objetivo: PRORROGAR O PRAZO DE  VIG NCIA DO CONTRATO ORIGINAL POR MAIS 12 (DOZE) MESES"
"52020";"63000";"Advocacia-Geral da Uni„o";"63000";"Advocacia-Geral da Uni„o - Unidades com vÌncu";"110097";"SUPERINTENDENCIA ADMINISTRACAO NO RIO G. SUL";"000012021";"12/05/2021";"Objetivo: PRORROGAR O PRAZO DE VIG NCIA DO CONTRATO ORIGINAL POR MAIS 12 (DOZE) MESES"
"52020";"63000";"Advocacia-Geral da Uni„o";"63000";"Advocacia-Geral da Uni„o - Unidades com vÌncu";"110097";"SUPERINTENDENCIA ADMINISTRACAO NO RIO G. SUL";"000022022";"06/04/2022";"Objetivo: PRORROGAR O PRAZO DE VIG NCIA DO CONTRATO ORIGINAL POR MAIS 12 (DOZE) MESES"
"62020";"63000";"Advocacia-Geral da Uni„o";"63000";"Advocacia-Geral da Uni„o - Unidades com vÌncu";"110097";"SUPERINTENDENCIA ADMINISTRACAO NO RIO G. SUL";"000012021";"27/05/2021";"Objetivo: PROROGA«√O POR MAIS 12 MESES A PARTIR DE 25/05/2021"
"72020";"63000";"Advocacia-Geral da Uni„o";"63000";"Advocacia-Geral da Uni„o - Unidades com vÌncu";"110097";"SUPERINTENDENCIA ADMINISTRACAO NO RIO G. SUL";"000012021";"27/05/2021";"Objetivo: PRORROGA«√O POR MAIS 12 MESES A PARTIR DE 25/05/2021"
"82020";"63000";"Advocacia-Geral da Uni„o";"63000";"Advocacia-Geral da Uni„o - Unidades com vÌncu";"110097";"SUPERINTENDENCIA ADMINISTRACAO NO RIO G. SUL";"000012021";"27/05/2021";"Objetivo: PRORROGA«√O POR MAIS 12 MESES A PARTIR DE 25/05/2021"
"32020";"63000";"Advocacia-Geral da Uni„o";"63000";"Advocacia-Geral da Uni„o - Unidades com vÌncu";"110099";"SUPERINTENDENCIA ADMINISTRACAO EM SAO PAULO";"000012020";"21/12/2020";"Objetivo: PROCEDER A ADEQUA«√O DO PRE«O DO CONTRATO ¿S ALTERA«’ES IMPOSTAS PELA LEI 14025/2020,CONSIDERANDO AS ALTERNATIVAS DISPONIBILIZADAS PELA SEGES/ME."
"32020";"63000";"Advocacia-Geral da Uni„o";"63000";"Advocacia-Geral da Uni„o - Unidades com vÌncu";"110099";"SUPERINTENDENCIA ADMINISTRACAO EM SAO PAULO";"000022021";"07/04/2021";"Objetivo: O PRESENTE TERMO TEM COMO OBJETO PRORROGAR A VIG NCIA DO CONTRATO N∫ 03/2020, REFERENTE AOS SERVI«OS DE LIMPEZA, ASSEIO E CONSERVA«√O, COM FORNECIMENTO DE MATERIAIS, VISANDO ATENDER ¿S NECESSIDADES DAS UNIDADES DA AGU EM S√O JOS… DO RIO PRETO, POR MAIS 12 (DOZE) MESES, RESSALVADO O DIREITO A REPACTUA«√O DE 2021, E PROCEDER A INCLUS√O DE NOVAS OBRIGA«’ES ¿ CONTRATADA DE ACORDO COM O DECRETO N∫ 9.507 DE 21/09/2018."
"32020";"63000";"Advocacia-Geral da Uni„o";"63000";"Advocacia-Geral da Uni„o - Unidades com vÌncu";"110099";"SUPERINTENDENCIA ADMINISTRACAO EM SAO PAULO";"12020";"21/12/2020";"Objeto: Proceder a adequaÁ„o do preÁo do contrato ‡s alteraÁıes impostas pela Lei 14025/2020, considerando as alternativas disponibilizadas pela SEGES/ME."
"72020";"63000";"Advocacia-Geral da Uni„o";"63000";"Advocacia-Geral da Uni„o - Unidades com vÌncu";"110099";"SUPERINTENDENCIA ADMINISTRACAO EM SAO PAULO";"000012021";"30/04/2021";"Objetivo: PRORROGAR A VIG NCIA DO CONTRATO 07/2020 POR MAIS 12 (DOZE) MESES."
