"Número Contrato";"Código Órgão Superior";"Nome Órgão Superior";"Código Órgão";"Nome Órgão";"Código UG";"Nome UG";"Número Apostilamento";"Descrição Apostilamento";"Valor Apostilamento";"Data de inclusão";"Situação Apostilamento"
"22014";"20113";"MINISTERIO DO PLANEJAMENTO,DESENV. E GESTÃO";"20113";"MINISTERIO DO PLANEJAMENTO,DESENV. E GESTÃO";"201063";"SUPERINTENDENCIA DE ADMINISTRACAO DO MP RR";"000000000003/2018";"ALTERAçãO DO VALOR DA MãO DE OBRA REFERENTE à CONVENçãO COLETIVA DE TRABALH                                            O RR000011/2018, DE 23.03.2018.";"20210,50";"16/07/2018";"Encerrado"
"22014";"20113";"MINISTERIO DO PLANEJAMENTO,DESENV. E GESTÃO";"20113";"MINISTERIO DO PLANEJAMENTO,DESENV. E GESTÃO";"201063";"SUPERINTENDENCIA DE ADMINISTRACAO DO MP RR";"000000000002/2017";"Alteração da remuneração da categoria decorrente da Convenção Coletiva de T                                           rabalho 2017/2017 RR000006/2017.";"143863,90";"27/07/2017";"Encerrado"
"22014";"20113";"MINISTERIO DO PLANEJAMENTO,DESENV. E GESTÃO";"20113";"MINISTERIO DO PLANEJAMENTO,DESENV. E GESTÃO";"201063";"SUPERINTENDENCIA DE ADMINISTRACAO DO MP RR";"000000000001/2015";"DECORRENTE DO AUMENTO DA REMUNERAçãO DA CATEGORIA EM ATENDIMENTO AO ACORDO                                                      COLETIVO DE TRABALHO.";"108070,80";"17/12/2015";"Encerrado"
"102014";"20000";"PRESIDENCIA DA REPUBLICA";"20116";"FUNDO DE IMPRENSA NACIONAL";"110245";"FUNDO DE IMPRENSA NACIONAL/EXEC.ORC.FINANC.";"000000000002/2017";"REAJUSTE DO VALOR UNITáRIO DA LICENçA.";"4387,30";"23/05/2017";"Encerrado"
"102014";"24000";"MINISTERIO DA CIENCIA,TECNOLOGIA E INOVAÇÃO";"20301";"COMISSAO NACIONAL DE ENERGIA NUCLEAR";"113201";"SAE-CNEN-COMIS.NACIONAL DE ENERGIA NUCLEAR/RJ";"000000000001/2016";"dissidio da categoria.";"80294,50";"16/08/2016";"Encerrado"
"72014";"24000";"MINISTERIO DA CIENCIA,TECNOLOGIA E INOVAÇÃO";"20301";"COMISSAO NACIONAL DE ENERGIA NUCLEAR";"113202";"COMISSAO NACIONAL DE ENERGIA NUCLEAR";"000000000001/2017";"Referente ao aumento das tarifas na energia elétrica, a demanda de consumo.";"900000,00";"01/11/2017";"Encerrado"
"72014";"24000";"MINISTERIO DA CIENCIA,TECNOLOGIA E INOVAÇÃO";"20301";"COMISSAO NACIONAL DE ENERGIA NUCLEAR";"113202";"COMISSAO NACIONAL DE ENERGIA NUCLEAR";"000000000001/2015";"Referente a aumento das tarifas na energia elétrica, a demanda de consumo.";"900000,00";"27/10/2015";"Encerrado"
"42014";"24000";"MINISTERIO DA CIENCIA,TECNOLOGIA E INOVAÇÃO";"20301";"COMISSAO NACIONAL DE ENERGIA NUCLEAR";"113205";"SAE-CNEN/CENTRO DESENV.TECNOLOGIA NUCLEAR/MG";"000000000005/2016";"REAJUSTE DO CONTRATO COM BASE NA VARIAçãO DO IGP-M.";"3166,20";"28/04/2016";"Encerrado"
"172014";"24000";"MINISTERIO DA CIENCIA,TECNOLOGIA E INOVAÇÃO";"20402";"AGENCIA ESPACIAL BRASILEIRA - AEB";"203001";"AGENCIA ESPACIAL BRASILEIRA";"000000000001/2015";"CONFORME O DISPOSTO NA CLáUSULA TERCEIRA DO 2º TERMO ADITIVO DO INSTRUMENTO                                                                CONTRATUAL.";"92958,30";"16/11/2015";"Encerrado"
"42014";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"130016";"LABORATÓRIO FEDERAL DE DEFESA AGROPECURIO/PE";"000000000001/2015";"CONCESSãO DE REAJUSTE_DO VALOR CONTRATUAL EM 3,145%, COM BASE NO IGP-M DEMARçO/2015, ACUMULADO NOS úLTIMOS DOZE MESES, EM OBEDIêNCIA à CLáUSULA DéCI                                        MA PRIMERIA DO CONTRATO Nº 04/2014.";"2583,80";"11/06/2015";"Encerrado"
"12014";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"130017";"LABORATORIO NACIONAL AGROPECUARIO NO PARA";"000000000001/2016";"Apostolimento que se procede em razão da Convenção Coletiva de Trabalhos da                                                            Categoria 2016.";"20472,40";"05/05/2016";"Encerrado"
"12014";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"130017";"LABORATORIO NACIONAL AGROPECUARIO NO PARA";"000000000001/2015";"REPACTUAçãO QUE SE PROCEDE ATRAVéS DE APOSTILAMENTO, DE ACORDO COM CONVEçãO DE TRABALHO DA CATEGORIA 2015/2015. AUTORIZADO PELA AUTORIDADE COMPETENTE,                                             REFERENTE AO CONTRATO 01/2014.";"28858,20";"27/07/2015";"Pendente"
"52014";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"130032";"LABORATÓRIO FEDERAL DE DEFESA AGROPECUÁRIA/GO";"000000000001/2016";"APLICAçãO DE íNDICE IGP-M/FGV PARA PERíODO DE EXECUçãO CONTRATUAL (MARçO/20                                                        15 ATé MARçO/2016).";"2628,00";"05/05/2016";"Encerrado"
"52014";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"130032";"LABORATÓRIO FEDERAL DE DEFESA AGROPECUÁRIA/GO";"000000000002/2017";"Reajuste de valores conforme IGP-M.";"1824,50";"30/05/2017";"Encerrado"
