"Número Contrato";"Código Órgão Superior";"Nome Órgão Superior";"Código Órgão";"Nome Órgão";"Código UG";"Nome UG";"Número Termo Aditivo";"Data Publicação";"Objeto"
"482020";"20000";"Presidência da República";"20101";"Presidência da República";"110001";"SECRETARIA ESPECIAL DE ADMINISTRACAO/PR";"000012021";"14/12/2021";"Objetivo: PRORROGAÇÃO DE VIGÊNCIA CONTRATUAL"
"482020";"20000";"Presidência da República";"20101";"Presidência da República";"110001";"SECRETARIA ESPECIAL DE ADMINISTRACAO/PR";"000022022";"12/08/2022";"Objetivo: ACRÉSCIMO DE SERVIÇOS"
"542020";"20000";"Presidência da República";"20101";"Presidência da República";"110001";"SECRETARIA ESPECIAL DE ADMINISTRACAO/PR";"000012021";"17/12/2021";"Objetivo: PRORROGAÇÃO E REEQUILÍBRIO ECONÔMICO FINANCEIRO DOS SERVIÇOS CONTRATADOS"
"582020";"20000";"Presidência da República";"20101";"Presidência da República";"110001";"SECRETARIA ESPECIAL DE ADMINISTRACAO/PR";"000012021";"09/04/2021";"Objetivo: RETIFICAÇÃO DO CNPJ DA EMPRESA ISH TECNOLOGIA S/A"
"22020";"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com víncu";"110062";"DIRETORIA DE GESTAO E DESENVOLVIMENTO DE PESS";"000012020";"11/01/2021";"Objetivo: PROMOVER A ALTERAÇÃO DO CONTRATO ADMINISTRATIVO N.02/2020 DGEP/SGA/AGU PARA POSSIBIITAR O PAGAMENTO À VISTA DO ITEM 2 - MESTRADO PORFISSIONAL EM ADMINISTRAÇÃO PÚBLICA"
"142020";"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com víncu";"110096";"SUPERINTENDENCIA ADMINISTRACAO EM PERNAMBUCO";"000012022";"25/07/2022";"Objetivo: RESCINDIR AMIGAVELMENTE O CONTRATO A PARTIR DA DATA DE ASSINATURA DESTE TERMO"
"162020";"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com víncu";"110096";"SUPERINTENDENCIA ADMINISTRACAO EM PERNAMBUCO";"000012021";"02/09/2021";"Objetivo: PRORROGAR POR 90 (NOVENTA) DIAS CONSECUTIVOS O PRAZO DE EXECUÇÃO CONTRATUAL."
"162020";"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com víncu";"110096";"SUPERINTENDENCIA ADMINISTRACAO EM PERNAMBUCO";"000022021";"21/12/2021";"Objetivo: PRORROGAR O PRAZO DE VIGÊNCIA CONTRATUAL POR 120 (CENTO E VINTE) DIAS CONSECUTIVOS."
"162020";"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com víncu";"110096";"SUPERINTENDENCIA ADMINISTRACAO EM PERNAMBUCO";"000032022";"05/04/2022";"Objetivo: SUPRESSÃO, ACRÉSCIMO E ALTERAÇÃO CONTRATUAL"
"182020";"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com víncu";"110096";"SUPERINTENDENCIA ADMINISTRACAO EM PERNAMBUCO";"000012021";"06/07/2021";"Objetivo: PRORROGAR POR 180 (CENTO E OITENTA DIAS) A VIGÊNCIA CONTRATUAL."
