"Número Contrato";"Código Órgão Superior";"Nome Órgão Superior";"Código Órgão";"Nome Órgão";"Código UG";"Nome UG";"Número Apostilamento";"Descrição Apostilamento";"Valor Apostilamento";"Data de inclusão";"Situação Apostilamento"
"222017";"44000";"MINISTERIO DO MEIO AMBIENTE";"20701";"INST.BRAS.DO MEIO AMB.E DOS REC.NAT.RENOVAV.";"193099";"MMA-IBAMA - DEFIN/DF";"000000000062/2017";"Repactuação do contrato";"835302,50";"29/12/2017";"Encerrado"
"222017";"44000";"MINISTERIO DO MEIO AMBIENTE";"20701";"INST.BRAS.DO MEIO AMB.E DOS REC.NAT.RENOVAV.";"193099";"MMA-IBAMA - DEFIN/DF";"000000000059/2018";"Repactuação.";"261468,90";"26/07/2018";"Encerrado"
"232017";"44000";"MINISTERIO DO MEIO AMBIENTE";"20701";"INST.BRAS.DO MEIO AMB.E DOS REC.NAT.RENOVAV.";"193099";"MMA-IBAMA - DEFIN/DF";"000000000061/2017";"Repactuação do contrato";"91382,00";"29/12/2017";"Encerrado"
"232017";"44000";"MINISTERIO DO MEIO AMBIENTE";"20701";"INST.BRAS.DO MEIO AMB.E DOS REC.NAT.RENOVAV.";"193099";"MMA-IBAMA - DEFIN/DF";"000000000058/2018";"Repactuação.";"21196,60";"26/07/2018";"Encerrado"
"52017";"44000";"MINISTERIO DO MEIO AMBIENTE";"20701";"INST.BRAS.DO MEIO AMB.E DOS REC.NAT.RENOVAV.";"193113";"MMA-IBAMA-SUPERINTENDENCIA ESTADUAL/MT";"00000000000012018";"Reajuste nos preços dos postos em função da nova Convenção Coletiva de Trab                                                                      alho.";"17063,60";"10/07/2018";"Encerrado"
"132017";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"130103";"LABORATÓRIO FEDERAL DE DEFESA AGROPECURIO/RS";"000000000001/2017";"REPACTUAçãO CONTRATUAL POR DISSIDIO DE CATEGORIA.";"2699,60";"28/11/2017";"Encerrado"
"80002017";"49000";"MINISTERIO DO DESENVOLVIMENTO AGRARIO";"22201";"INSTIT. NAC. DE COLONIZACAO E REFORMA AGRARIA";"373050";"SUPER.REG.DO MÉDIO S.FRANCISCO";"000000000001/2018";"Registra efeitos de repactuação";"7648,20";"12/04/2018";"Encerrado"
"342017";"49000";"MINISTERIO DO DESENVOLVIMENTO AGRARIO";"22201";"INSTIT. NAC. DE COLONIZACAO E REFORMA AGRARIA";"373072";"INCRA-SUPERINTENDENCIA REGIONAL/SR-11/RS";"00000000000000001";"repactuacao de contrato";"10960,30";"19/02/2017";"Encerrado"
"112017";"25000";"MINISTERIO DA ECONOMIA";"25000";"MINISTERIO DA ECONOMIA";"170045";"SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - RN";"00000000000012018";"Convenção Coletiva de Trabalho registrada no MTE sob o nº RN000483/2017, em 07/12/2017, que reajustou o salário da categoria para R$ 1.045,70, além do preço das tarifas do transporte coletivo urbano do município de Natal, que  passou para R$ 3,35, e o valor do vale alimentação que a Categoria passou                                  a ter direito no valor de R$ 8,00 diário.";"18060,20";"31/01/2018";"Encerrado"
"32017";"25000";"MINISTERIO DA ECONOMIA";"25000";"MINISTERIO DA ECONOMIA";"170058";"SUP.REGIONAL RECEITA FEDERAL 4A.RF/PE";"000000000001/2018";"Apostilamento decorrente da CCT 2018/2018, com registro no MTE em 12/03/201                                                                         8.";"5390,20";"18/07/2018";"Encerrado"
"22017";"25000";"MINISTERIO DA ECONOMIA";"25000";"MINISTERIO DA ECONOMIA";"170120";"DELEGACIA DA REC.FEDERAL EM CAMPOS GOITACAZES";"00000000000000001";"EM CUMPRIMENTO AO QUE DISPõE A CLáUSULA SEXTA DO CONTRATO DRF/CGZ Nº 01/201                                     7 DO PROCESSO Nº 15528.720051/2017-36.";"10609,90";"31/10/2017";"Encerrado"
"22017";"25000";"MINISTERIO DA ECONOMIA";"25000";"MINISTERIO DA ECONOMIA";"170120";"DELEGACIA DA REC.FEDERAL EM CAMPOS GOITACAZES";"00000000000000002";"EM CUMPRIMENTO AO QUE DISPOE A CLAUSULA SEXTA DO CONTRATO DRF/CGZ Nº 01/201                                     7 DO PROCESSO Nº 15528.720051/2017-36.";"8293,60";"07/12/2017";"Encerrado"
"122017";"25000";"MINISTERIO DA ECONOMIA";"25000";"MINISTERIO DA ECONOMIA";"170133";"SUP.REGIONAL RECEITA FEDERAL DA 8A.RF/SP";"00000023ABRIL2018";"O OBJETO é A REPACTUAçãO DO CONTRATO SRRF08/DIPOL Nº 12/2017, DE PRESTAçãODE SERVIçO DE COPEIRAGEM, MOTIVADO PELO REQUERIMENTO DA CONTRATADA PARA A APLICAçãO DA CONVENçãO COLETIVA DE TRABALHO 2018/2018 SIEMACO/SEAC/SP, REAJU                  STE DE TARIFA DE TRANSPORTE E REAJUSTE DO SALáRIO MíNIMO.";"10459,30";"23/05/2018";"Encerrado"
"62017";"25000";"MINISTERIO DA ECONOMIA";"25000";"MINISTERIO DA ECONOMIA";"170134";"DELEGACIA DA REC.FEDERAL EM ARACATUBA/SP";"000000000001/2017";"REPACTUACAO CONTRATUAL COM BASE NA CCT SINTETEL 2017/2018, COM EFEITOS FINA                                            NCEIROS A PARTIR DE 08/08/2017.";"3100,20";"18/09/2017";"Encerrado"
"62017";"25000";"MINISTERIO DA ECONOMIA";"25000";"MINISTERIO DA ECONOMIA";"170134";"DELEGACIA DA REC.FEDERAL EM ARACATUBA/SP";"000000000001/2018";"REPACTUACAO CONTRATUAL COM BASE NAS CONVENCOES COLETIVAS ADOTADAS NA CONTRA                       TACAO, COM EFEITO FINANCEIRO A PARTIR DE 01/03/2018.";"722,70";"12/06/2018";"Encerrado"
"22017";"25000";"MINISTERIO DA ECONOMIA";"25000";"MINISTERIO DA ECONOMIA";"170146";"DELEGACIA DA REC.FEDERAL EM OSASCO/SP";"000000000001/2018";"REPACTUAÇÃO E REAJUSTE DOS VALORES CONTRATUAIS, EM VIRTUDE DA CCT 2018/2018; DO DECRETO Nº 9.255/2017; DO DECRETO Nº 11.600/2018, DE OSASCO; E DOS VAL ORES DAS TARIFAS DE ÔNIBUS INTERMUNICIPAIS, CONFORME RELATÓRIO DA EMTU/SP.";"6670,30";"10/05/2018";"Encerrado"
"1022017";"25000";"MINISTERIO DA ECONOMIA";"25000";"MINISTERIO DA ECONOMIA";"170156";"SUP.REGIONAL RECEITA FEDERAL 9A.RF/PR";"000000000002/2018";"Valor de reajuste em razão de variação do IGP-DI, conforme Cláusula Oitava                                                               do Contrato.";"577,30";"18/06/2018";"Encerrado"
