"N˙mero Contrato";"CÛdigo ”rg„o Superior";"Nome ”rg„o Superior";"CÛdigo ”rg„o";"Nome ”rg„o";"CÛdigo UG";"Nome UG";"N˙mero Apostilamento";"DescriÁ„o Apostilamento";"Valor Apostilamento";"Data de inclus„o";"SituaÁ„o Apostilamento"
"312016";"20113";"MINISTERIO DO PLANEJAMENTO,DESENV. E GEST√O";"20202";"FUNDACAO ESCOLA NACIONAL DE ADM. PUBLICA";"114702";"ENAP-ESCOLA NACIONAL DE ADM.PUBLICA/DF";"000000000002/2018";"REGISTRAR OS NOVOS VALORES CONTRATUAIS REFERENTES AO REAJUSTE DOS PREÁOS PR  ATICADOS NO CONTRATO, EM OBSERV‚NCIA ‡ SUA CL·USULA DÈCIMA - DO REAJUSTE.";"2591,70";"11/04/2018";"Encerrado"
"282016";"44000";"MINISTERIO DO MEIO AMBIENTE";"20701";"INST.BRAS.DO MEIO AMB.E DOS REC.NAT.RENOVAV.";"193099";"MMA-IBAMA - DEFIN/DF";"000000000053/2018";"Reajuste do Contrato Administrativo 28/2016 a partir de 10.06.2017.";"304,00";"27/03/2018";"Encerrado"
"82016";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"130029";"SUPERINT.FEDERAL DE AGRIC.PECUARIA E ABASTEC.";"000000000001/2018";"requerimento de reequilibrio economico e financeiro referente ao contrato 08/2016 devido a convencao coletiva de trabalho cct 2017/2018 da categoria d e servente majoraÁ„o salarial, atualizaÁ„o do vale transporte, atualizaÁ„odo vale alimentaÁ„o, atualizaÁ„o do plano de sa˙de, atualizaÁ„o do plano od                                                                ontologico.";"11086,50";"31/01/2018";"Encerrado"
"82016";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"130029";"SUPERINT.FEDERAL DE AGRIC.PECUARIA E ABASTEC.";"000000000001/2017";"DiferenÁa das parcelas de janeiro a novembro de 2017 referente a reequilÌbr                 io econÙmico/financeiro do Contrato Administrativo 8/2016.";"5701,60";"24/11/2017";"Encerrado"
"42016";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"130072";"SUPERINT.FEDERAL DE AGRIC.PECUARIA E ABASTEC.";"00000000000032017";"RepactuaÁ„o atravÈs de Apostilamento conforme convenÁ„o coletiva do MTE SC0                                                                 00425/2017";"6896,00";"29/05/2017";"Encerrado"
"42016";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"130072";"SUPERINT.FEDERAL DE AGRIC.PECUARIA E ABASTEC.";"000000000003-2016";"REPACTUAÁ„O CONFORME DATA BASE DA CONVENÁ„O COLETIVA DO TRABALHO DE 2018 RE                GISTRO NO MTE SC0006466/2018 PARA AUMENTO DO PISO SALARIAL.";"3440,60";"08/03/2018";"Encerrado"
"172016";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"130103";"LABORAT”RIO FEDERAL DE DEFESA AGROPECURIO/RS";"000000000002/2018";"REPACTUAÁ„O DO CONTRATO N∫ 17/2016 DECORRENTE DA CCT/2018 E DA ATUALIZAÁ„O                        DO VALE-TRANSPORTE NO MUNICÌPIO DE PORTO ALEGRE/RS.";"2401,60";"14/05/2018";"Encerrado"
"172016";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"130103";"LABORAT”RIO FEDERAL DE DEFESA AGROPECURIO/RS";"000000000001/2017";"REPACTUAÁ„O CONTRATUAL DEVIDO ‡ CCT DE 2017.";"3172,80";"28/03/2017";"Encerrado"
"222016";"24000";"MINISTERIO DA CIENCIA,TECNOLOGIA E INOVA«√O";"24000";"MINISTERIO DA CIENCIA,TECNOLOGIA E INOVA«√O";"240125";"MUSEU PARAENSE EMILIO GOELDI";"00000000TP02/2017";"O PRESENTE TERMO DE APOSTILAMENTO TEM COMO OBJETO A REPACTUAÁ„O DO CUSTO MENSAL POR DELIBERAÁ„O DA CCT2017/2018, REGISTRADAS NO MTE SOB OS N∫S 000002/                                       2017, PA000663/2016 E MR061414/2016.";"513301,50";"09/08/2017";"Encerrado"
"222016";"24000";"MINISTERIO DA CIENCIA,TECNOLOGIA E INOVA«√O";"24000";"MINISTERIO DA CIENCIA,TECNOLOGIA E INOVA«√O";"240125";"MUSEU PARAENSE EMILIO GOELDI";"00000000TP01/2017";"O PRESENTE TERMO DE APOSTILAMENTO TEM COMO OBJETO A REVIS„O DO CUSTO MENSAL POR DELIBERAÁ„O CONTIDA NA CL·USULA DÈCIMA, SUBITEM 10.37 DO CONTRATO ADMI                       NISTRATIVO N∫ 22/2017, CONTADOS DESDE DE 22/11/2016.";"10240,90";"09/08/2017";"Encerrado"
"82016";"25000";"MINISTERIO DA ECONOMIA";"25000";"MINISTERIO DA ECONOMIA";"170018";"SUP.REGIONAL RECEITA FEDERAL 1A.RF/DF";"000000000001/2018";"COM FULCRO NO .8∫ DO ART.65 DA LEI N∫8.666/93, INDICA-SE,MEDIANTE ESTE INSTRUMENTO,A DOTAÁ„O ORÁAMENT·RIA E A NOTA DE EMPENHO POR ONDE CORRER„O AS DES                           PESAS DO CONTRATO 05/2016, NO EXERCÌCIO DE 2018.";"0,00";"26/02/2018";"Encerrado"
"42016";"25000";"MINISTERIO DA ECONOMIA";"25000";"MINISTERIO DA ECONOMIA";"170028";"DELEGACIA DA RECEITA FEDERAL - SAO LUIS/MA";"00000000000012016";"ACRÈSCIMO DE VALOR EM DECORRÍNCIA DE AJUSTE NO PERCENTUAL DE 10,64% POR FOR                                               ÁA DA PORTARIA  N∫ 459/2016.";"15545,70";"11/11/2016";"Encerrado"
"232016";"25000";"MINISTERIO DA ECONOMIA";"25000";"MINISTERIO DA ECONOMIA";"170038";"SUPERINTEND NCIA DE ADMINISTRA«√O DO MF - CE";"000000000014/2017";"REPACTUAÁ„O CONTRATUAL PELO ADVENTO DA CCT 2016/2017 QUE MAJOROU O PISO SALARIAL DA CATEGORIA, AUXÌLIO ALIMENTAÁ„O, CESTA B·SICA E ASSISTÍNCIA MÈDICA, ALÈM DO AUMENTO DA TARIFA DE TRANSPORTE P˙BLICO DO MUNICÌPIO DE JUAZEIRO D                                                                   O NORTE.";"3798,90";"30/11/2017";"Encerrado"
"122016";"25000";"MINISTERIO DA ECONOMIA";"25000";"MINISTERIO DA ECONOMIA";"170064";"SUPERINTEND NCIA DE ADMINISTRA«√O DO MF/AL";"00000000000042017";"O PRESENTE TERMO DE APOSTILAMENTO TEM COMO OBJETO REPACTUAR O CONTRATO ORIG  INAL COM FUNDAMENTO NA CONVENÁ„O COLETIVA DE TRABALHO (CCT) 2017/2018, DO  SINDICATO  DA IND˙STRIA DA CONSTRUÁ„O DO ESTADO DE ALAGOAS - COM REGISTRO  N∫ AL000186/2017, COM DATA DE REGISTRO EM 21/09/2017, NA LEI 4.950-A/1966                        E NO DECRETO N∫ 8.392/17 DO MUNICÌPIO DE MACEIÛ/AL.";"15524,10";"20/11/2017";"Encerrado"
"42016";"25000";"MINISTERIO DA ECONOMIA";"25000";"MINISTERIO DA ECONOMIA";"170092";"DELEGACIA DA REC.FEDERAL EM J.DE FORA/MG";"000000000001/2017";"REPACTUA«√O DE PRE«OS CONFORME CONVEN«√O COLETIVA DE TRABALHO 2017, DATA BA                                                  SE 01 DE JANEIRO DE 2017.";"17972,50";"11/07/2017";"Encerrado"
"62016";"25000";"MINISTERIO DA ECONOMIA";"25000";"MINISTERIO DA ECONOMIA";"170116";"SUP.REGIONAL RECEITA FEDERAL 7A.RF/RJ";"000000000002/2017";"REPACTUA«√O CONTRATUAL COM BASE EM CONVEN«√O COLETIVA DE TRABALHO 2017/2018, REFERNETE A CATEGORIA DE VIGILANTE, SOB O N∫ 000587/2017 COM EFEITOS RETR                               OATIVOS A 01/03/2017, DATA BASE DA CATEGORIA";"15423,10";"28/07/2017";"Encerrado"
"52016";"25000";"MINISTERIO DA ECONOMIA";"25000";"MINISTERIO DA ECONOMIA";"170136";"DELEGACIA DA REC.FEDERAL EM CAMPINAS/SP";"000000000001/2017";"EM RAZ„O DOS EFEITOS TRAZIDOS PELA REPACTUAÁ„O DECORRENTE DAS VARIAÁıES DECUSTO DOS INSUMOS, CONFORME ANALITICAMENTE DEMONSTRADO, O VALOR MENSAL DA CONTRATAÁ„O PASSA DOS ATUAIS R$ 16.965,88 PARA R$ 18.500,95 (DEZOITO MIL E QUINHENTOS REAIS E NOVENTA E CINCO CENTAVOS), A PARTIR DE 01/05/2017, DATA-B                               ASE DAS CATEGORIAS VINCULADAS AO SINDEEPRES.";"13934,00";"24/08/2017";"Encerrado"
"62016";"25000";"MINISTERIO DA ECONOMIA";"25000";"MINISTERIO DA ECONOMIA";"170136";"DELEGACIA DA REC.FEDERAL EM CAMPINAS/SP";"00000000000012018";"REPACTUACAO ANUAL, CONTEMPLANDO DESONERACOES TRAZIDAS PELA REFORMA TRABALHI                         STA E AUMENTOS DE CUSTOS QUE IMPACTARAM O CONTRATO";"0,00";"12/06/2018";"Encerrado"
"62016";"25000";"MINISTERIO DA ECONOMIA";"25000";"MINISTERIO DA ECONOMIA";"170136";"DELEGACIA DA REC.FEDERAL EM CAMPINAS/SP";"000000000002/2017";"PARA CORRECAO DA PARCELA 10";"0,00";"11/10/2017";"Encerrado"
"62016";"25000";"MINISTERIO DA ECONOMIA";"25000";"MINISTERIO DA ECONOMIA";"170136";"DELEGACIA DA REC.FEDERAL EM CAMPINAS/SP";"000000000001/2017";"REPACTUACAO ANUAL, CONSIDERANDO NOVOS CUSTOS DO CONTRATO";"37436,70";"11/10/2017";"Encerrado"
"42016";"25000";"MINISTERIO DA ECONOMIA";"25000";"MINISTERIO DA ECONOMIA";"170141";"DELEGACIA DA REC.FEDERAL EM SANTOS/SP";"000000000001/2016";"REPACTUAÁ„O DOS VALORES CONTRATUAIS PARA ADEQUAÁ„O AO INCREMENTO NO VALOR DA M„O DE OBRA DECORRENTE DA CCT 2016/2017 DA CATEGORIA PROFISSIONAL ENVOLVI                                                DA NA PRESTAÁ„O DO SERVIÁO.";"11097,80";"28/12/2016";"Encerrado"
"62016";"25000";"MINISTERIO DA ECONOMIA";"25000";"MINISTERIO DA ECONOMIA";"170142";"DELEGACIA DA REC.FEDERAL EM SOROCABA/SP";"00000000000000002";"REPACTUAÁ„O A PARTIR DE ABRIL/2017 PELA ALTERAÁ„O DA LEI ESTADUAL 12640/2007 PELA LEI ESTADUAL 16402/2017 QUE ALTEROU O SAL·RIO MÌNIMO REGIONAL E A PA                                 RTIR DE MAIO/2017 PELA NOVA CCT 2017/2018.";"10817,90";"28/08/2017";"Encerrado"
"62016";"25000";"MINISTERIO DA ECONOMIA";"25000";"MINISTERIO DA ECONOMIA";"170142";"DELEGACIA DA REC.FEDERAL EM SOROCABA/SP";"00000000000000003";"IndicaÁ„o da Nota de Empenho para atender despesa do contrato para o exercÌ                                                                  cio 2018.";"0,00";"15/01/2018";"Encerrado"
"72016";"25000";"MINISTERIO DA ECONOMIA";"25000";"MINISTERIO DA ECONOMIA";"170142";"DELEGACIA DA REC.FEDERAL EM SOROCABA/SP";"00000000000000004";"REPACTUAÁ„O DO CONTRATO 07/2016 TENDO EMVISTA A NOVA CONVENÁ„O COLETIVA DE                                 TRABALHO 2017/2018 A PARTIR DE 01/10/2017.";"4129,50";"09/03/2018";"Encerrado"
"72016";"25000";"MINISTERIO DA ECONOMIA";"25000";"MINISTERIO DA ECONOMIA";"170142";"DELEGACIA DA REC.FEDERAL EM SOROCABA/SP";"000000000001/2016";"RepactuaÁ„o do valor contratual em virtude de nova convenÁ„o coletiva de tr                                                                    abalho.";"5234,10";"01/12/2016";"Encerrado"
