"Número Contrato";"Código Órgão Superior";"Nome Órgão Superior";"Código Órgão";"Nome Órgão";"Código UG";"Nome UG";"Número Termo Aditivo";"Data Publicação";"Objeto"
"532019";"20000";"Presidência da República";"20101";"Presidência da República";"110001";"SECRETARIA ESPECIAL DE ADMINISTRACAO/PR";"000012020";"20/08/2020";"Objetivo: PRORROGACAO DO PRAZO DE VIGENCIA."
"532019";"20000";"Presidência da República";"20101";"Presidência da República";"110001";"SECRETARIA ESPECIAL DE ADMINISTRACAO/PR";"000022021";"05/08/2021";"Objetivo: PRORROGAÇÃO DO PRAZO DE VIGÊNCIA"
"532019";"20000";"Presidência da República";"20101";"Presidência da República";"110001";"SECRETARIA ESPECIAL DE ADMINISTRACAO/PR";"000032022";"15/08/2022";"Objetivo: PRORROGAÇÃO DO PRAZO DE VIGÊNCIA E A SUPRESSÃO DE SERVIÇOS"
"532019";"20000";"Presidência da República";"20101";"Presidência da República";"110001";"SECRETARIA ESPECIAL DE ADMINISTRACAO/PR";"12020";"20/08/2020";"Objeto: Prorrogacao do prazo de vigencia."
"542019";"20000";"Presidência da República";"20101";"Presidência da República";"110001";"SECRETARIA ESPECIAL DE ADMINISTRACAO/PR";"000012020";"01/09/2020";"Objetivo: PRORROGAÇÃO DO PRAZO DE VIGÊNCIA."
"542019";"20000";"Presidência da República";"20101";"Presidência da República";"110001";"SECRETARIA ESPECIAL DE ADMINISTRACAO/PR";"000022021";"30/08/2021";"Objetivo: PRORROGAÇÃO DO PRAZO DE VIGÊNCIA."
"542019";"20000";"Presidência da República";"20101";"Presidência da República";"110001";"SECRETARIA ESPECIAL DE ADMINISTRACAO/PR";"000032022";"03/08/2022";"Objetivo: PRORROGAÇÃO DO PRAZO DE VIGÊNCIA"
"542019";"20000";"Presidência da República";"20101";"Presidência da República";"110001";"SECRETARIA ESPECIAL DE ADMINISTRACAO/PR";"12020";"01/09/2020";"Objeto: Prorrogação do prazo de vigência."
"112020";"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com víncu";"110096";"SUPERINTENDENCIA ADMINISTRACAO EM PERNAMBUCO";"000012021";"23/02/2021";"Objetivo: SUPRESSÃO DE 01 POSTO DE RECEPCIONISTA DA CJU/AL."
"72020";"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com víncu";"110096";"SUPERINTENDENCIA ADMINISTRACAO EM PERNAMBUCO";"000012021";"30/09/2021";"Objetivo: PRORROGAR POR 12 (DOZE) MESES O PRAZO DE VIGÊNCIA E ALTERAR O  CONTRATO, COM BASE NA APLICABILIDADE DA LEI 12.506/2011 E NOTA TÉCNICA Nº 652/20174-MP."
"72020";"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com víncu";"110096";"SUPERINTENDENCIA ADMINISTRACAO EM PERNAMBUCO";"000012021";"30/09/2021";"Objetivo: PRORROGAR POR 12 (DOZE) MESES O PRAZO DE VIGÊNCIA E ALTERAR O  CONTRATO, COM BASE NA APLICABILIDADE DA LEI 12.506/2011 E NOTA TÉCNICA Nº 652/20174-MP."
"72020";"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com víncu";"110096";"SUPERINTENDENCIA ADMINISTRACAO EM PERNAMBUCO";"000022022";"20/09/2022";"Objetivo: PRORROGAR A VIGÊNCIA CONTRATUAL POR 12 (DOZE) MESES"
"72020";"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com víncu";"110096";"SUPERINTENDENCIA ADMINISTRACAO EM PERNAMBUCO";"000022022";"20/09/2022";"Objetivo: PRORROGAR A VIGÊNCIA CONTRATUAL POR 12 (DOZE) MESES"
"112020";"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com víncu";"110097";"SUPERINTENDENCIA ADMINISTRACAO NO RIO G. SUL";"000012021";"04/08/2021";"Objetivo: PRORROGAR O PRAZO DE VIGÊNCIA CONTRATUAL PARA O PERÍODO DE 15/08/2021 ATÉ 14/08/2022, CONSOANTE AO INCISO II, DO ART. 57, DA LEI Nº 8.666/93"
"112020";"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com víncu";"110097";"SUPERINTENDENCIA ADMINISTRACAO NO RIO G. SUL";"000022022";"26/07/2022";"Objetivo: PRORROGAÇÃO DA VIGENCIA CONTRATUAL"
"442020";"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com víncu";"110161";"SUPERINTENDENCIA DE ADM. NO DISTRITO FEDERAL";"000012021";"19/08/2021";"Objetivo: PRORROGAR O PRAZO DE VIGÊNCIA CONTRATUAL POR MAIS 12 (DOZE) MESES, NOS TERMOS DO INCISO II, DO ARTIGO 57, DA LEI Nº 8.666/93, BEM COMO RESGUARDAR À CONTRATADA O DIREITO AO REAJUSTAMENTO DE PREÇOS DO CONTRATO, TÃO LOGO SEJAM CONCLUÍDOS OS ESTUDOS TÉCNICOS, DESDE QUE PREENCHIDOS TODOS OS REQUISITOS LEGAIS E CONTRATUAIS."
"442020";"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com víncu";"110161";"SUPERINTENDENCIA DE ADM. NO DISTRITO FEDERAL";"000022021";"16/11/2021";"Objetivo: ACRESCER, A  PARTIR DE 01.11.2021,  01 (UM0 POSTO DE SERVIÇO DE APOIO ADMINISTRATIVO, CORRESPONDENDO A UM AUMENTO DE 10,60% DO VALOR DO CONTRATO, NOS TERMOS DO   INCISO I, ALÍNEA B E § 1° DO ARTIGO 65 DA LEI NO 8.666/93 E, AINDA, DA CLÁUSULA DÉCIMA TERCEIRA DO TERMO CONTRATUAL INICIAL."
"92020";"20000";"Presidência da República";"20116";"Fundo de Imprensa Nacional";"110245";"FUNDO DE IMPRENSA NACIONAL/EXEC.ORC.FINANC.";"000012021";"04/08/2021";"Objetivo: TEM POR OBJETO A CONCESSÃO DA REPACTUAÇÃO, A PARTIR DE 31 DE JULHO DE 2020, O REEQUILÍBRIO ECONÔMICO-FINANCEIRO DOS PREÇOS CONTRATUAIS FACE A RETIRADA DOS CUSTOS NÃO RENOVÁVEIS, A PARTIR DE 31 DE JULHO DE 2021,  ALTERAÇÃO DO SUBITEM 14.1.1 DA CLÁUSULA DÉCIMA-QUARTA DO CONTRATO Nº 09/2020, CONFORME INSTRUÇÃO NORMATIVA Nº 53 SEGES/ME, DE 8 DE JULHO DE 2020, E A PRORROGAÇÃO DO PRAZO DE VIGÊNCIA ATÉ O DIA 31 DE JULHO DE 2022."
"92020";"20000";"Presidência da República";"20116";"Fundo de Imprensa Nacional";"110245";"FUNDO DE IMPRENSA NACIONAL/EXEC.ORC.FINANC.";"000022022";"03/08/2022";"Objetivo: TEM POR OBJETO A REPACTUAÇÃO DOS VALORES CONTRATUAIS, SUPRESSÃO DO ADICIONAL DE INSALUBRIDADE, A INSERÇÃO DE REGRA ADICIONAL, RELATIVA À RESCISÃO E A PRORROGAÇÃO DO PRAZO DE VIGÊNCIA DO CONTRATO Nº 09/2020 ATÉ O DIA 31/07/2023."
"52020";"20000";"Presidência da República";"20101";"Presidência da República";"110322";"GABINETE DE SEGURANCA INSTITUCIONAL/PR";"000012021";"01/06/2021";"Objetivo: PRORROGAÇÃO DO PRAZO DE VIGÊNCIA"
"52020";"20000";"Presidência da República";"20101";"Presidência da República";"110322";"GABINETE DE SEGURANCA INSTITUCIONAL/PR";"000022022";"07/07/2022";"Objetivo: PRORROGAÇÃO DO PRAZO DE VIGÊNCIA"
"172020";"52000";"Ministério da Defesa";"52000";"Ministério da Defesa - Unidades com vínculo d";"110404";"DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD";"000272021";"25/08/2021";"Objetivo: PRORROGAR A VIGÊNCIA CONTRATUAL POR UM PERÍODO DE 2 (DOIS) MESES, CONTADOS DE 24/08/2021 A 23/10/2021, OU A BOM TEMPO DA CONTRATAÇÃO REFERENTE AO PREGÃO Nº 14/2021, ADVINDO DO PROCESSO NUP 60584.000466/2021-56."
"172020";"52000";"Ministério da Defesa";"52000";"Ministério da Defesa - Unidades com vínculo d";"110404";"DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD";"000562020";"24/12/2020";"Objetivo: ACRESCER QUATRO POSTOS DE TRABALHO PARA A FUNÇÃO DE SUPERVIDOR ADMINISTRATIVO."
"172020";"52000";"Ministério da Defesa";"52000";"Ministério da Defesa - Unidades com vínculo d";"110404";"DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD";"562020";"24/12/2020";"Objeto: Acrescer quatro postos de trabalho para a função de Supervidor Administrativo."
