"Código Órgão";"Nome Órgão";"Código UG";"Nome UG";"Número Contrato";"Código Item Compra";"Descrição Item Compra";"Descrição Complementar Item Compra";"Quantidade Item";"Valor Item"
"52121";"Comando do Exército";"160440";"23 BATALHAO DE INFANTARIA";"12012";"1604400700002201400001";"ASSISTENCIA MEDICA - HOSPITALAR / DOMICILIAR COMPLEMENTAR DESAUDE / CONVÊNIO";"ASSISTÊNCIA MÉDICA - HOSPITALAR:  COMPLEMENTAR DE  SAÚDE  / CONVÊNIO";"1";"600000,00"
"52121";"Comando do Exército";"160034";"6º BATALHAO DE POLICIA DO EXERCITO";"12013";"1600910500033201300006";"MANUTENCAO CENTRAL DE CHAMADA";"SERVIÇOS DE SUPORTE TÉCNICO E MANUTENÇÃO PREVENTIVA E CORRETIVA, DE CENTRAIS P RIVADAS DE COMUTAÇÃO TELEFÔNICA (CPCT) DE MARCA SOPHO/PHILIPS, DA 6ª REGIÃO MI LITAR, DE ACORDO COM O TR_Nº_142013 SRT-CITEX 51º CT_CENTRAL TELEFÔNICA_ 51º C T,  POR 12(DOZE) MESES POR PORTA";"1089";"56617,10"
"52121";"Comando do Exército";"160339";"1º BATALHAO DE ENGENHARIA DE CONSTRUCAO";"12013";"1603390700003201300001";"ANALISE CLINICA, ANATOMIA PATOLOGICA E CITOPATOLOGIA";"SERVIÇO DE ANALISES CLINICAS E SERVIÇOS MEDICOS";"1";"38000,00"
"52121";"Comando do Exército";"160274";"25 BATALHAO LOGISTICO (ES)";"12014";"1602740200001201400001";"OBRAS CIVIS DE EDIFICACOES PREDIAIS";"EXECUÇÃO E ADEQUAÇÃO DO ALOJAMENTO DA COMPANHIA LOGÍSTICA DE SUPRIMENTO";"1";"461599,30"
"52121";"Comando do Exército";"160520";"23º BATALHAO LOGISTICO DE SELVA";"12014";"1605200500001201400001";"COLETA DE LIXO - RESIDENCIAL / COMERCIAL / INDUSTRIAL";"SERVIÇO DE COLETA SELETIVA DE LIXO E DESCARTE, EM ATERRO SANITÁRIO LEGALIZADO,  SENDO SERVIÇO EXECUTADO NO MÍNIMO 02 (DUAS) VEZES POR SEMANA (SEGUNDA E QUINT A-FEIRA), PERFAZENDO NO MÍNIMO UM TOTAL DE 10M , EM CASO DE FERIADO NUM DESSES  DIAS, A CONTRATADA DEVERÁ FAZÊ-LO NO PRÓXIMO DIA ÚTIL SUBSEQUENTE, DURANTE 01 (UM) MÊS, NO HORARIO ENTRE 14:00 E 17:00 HORAS.";"960";"67200,00"
"26404";"Instituto Federal Baiano";"154618";"INST. FED. BAIANO - CAMPUS GOV. MANGABEIRA";"12014";"1546180500002201400001";"CANTINA / BAR / LANCHONETE / REFEICAO RAPIDA / RESTAURANTE";"REFEIÇÃO EM MARMITEX DE ISOPOR RETANGULAR COM 03(TRÊS) DIVISÓRIAS, ACOMPANHAND O GARFO, FACA DESCARTÁVEIS RESISTENTES, PALITO DE DENTE E 03(TRÊS) FOLHAS DE G UARDANAPO, OBEDECENDO OS CARDÁPIOS CONSTANTES NO EDITAL.";"1414";"19880,80"
"58000";"Ministério da Pesca e Aquicultura - Unidades ";"580037";"SUPERINT.FED.DA PESCA E AQUICULTURA/TO";"12014";"5800370500001201400002";"SERVICO DE VIGILANCIA ARMADA";"POSTO DE VIGILÂNCIA -12H X 36H NOTURNO ARMADO";"1";"119737,90"
"58000";"Ministério da Pesca e Aquicultura - Unidades ";"580037";"SUPERINT.FED.DA PESCA E AQUICULTURA/TO";"12014";"5800370500001201400001";"SERVICO DE VIGILANCIA ARMADA";"POSTO DE VIGILÂNCIA -12H X 36H DIURNO ARMADO";"1";"94379,70"
"26439";"Instituto Federal de São Paulo";"158344";"IFSP - CAMPUS BRAGANCA PAULISTA";"12014";"1583440500008201400001";"DECORACAO - EVENTOS / SOLENIDADES";"ORGANIZAÇÃO DE EVENTOS, INCLUINDO SERVIÇOS DE: DECORAÇÃO DE UM AUDITÓRIO E CIN CO SALAS DE AULA; FORNECIMENTO DE COFFEE-BREAK E COQUETEL; E RECEPÇÃO DE CONGR ESSISTAS, ESTUDANTES E PALESTRANTES. DEVERÃO ESTAR INCLUÍDOS OS RECURSOS HUMAN OS NECESSÁRIOS, TAIS COMO DE GARÇONS E RECEPCIONISTAS, E OS RECURSOS MATERIAIS , TAIS COMO OS TALHERES E DEMAIS UTENSÍLIOS. INFORMAÇÕES DETALHADAS SOBRE OS S ERVIÇOS A SEREM EXECUTADOS ESTÃO CONTIDAS NO TERMO DE REFERÊNCIA.";"1";"24200,00"
"52121";"Comando do Exército";"160345";"HOSPITAL DE GUARNICAO DE NATAL";"12014";"1603450700003201400001";"ASSISTENCIA MEDICA - HOSPITALAR / DOMICILIAR COMPLEMENTAR DESAUDE / CONVÊNIO";"PRESTAÇÃO DE SERVIÇOS DE ASSISTÊNCIA MÉDICO-HOSPITALAR, ODONTOLÓGICOS, LABORAT ORIAIS E OUTROS SERVIÇOS DE SAÚDE A SEREM COMPLEMENTADOS DE NATUREZA CONTÍNUA.";"1";"350000,00"
