"N˙mero Contrato";"CÛdigo ”rg„o Superior";"Nome ”rg„o Superior";"CÛdigo ”rg„o";"Nome ”rg„o";"CÛdigo UG";"Nome UG";"N˙mero Apostilamento";"DescriÁ„o Apostilamento";"Valor Apostilamento";"Data de inclus„o";"SituaÁ„o Apostilamento"
"142013";"20000";"PRESIDENCIA DA REPUBLICA";"20000";"PRESIDENCIA DA REPUBLICA";"110590";"SECRETARIA DE AVIACAO CIVIL_DA PRESIDENCIA";"00000000000000001";"Concess„o do reajuste previsto na Cl·usula DÈcima Quarta do Contrato n∫ 14/SAC-PR/2013, para os serviÁos de motofretistas, no valor mensal de R$ 4.175                                                                       ,05.";"5831,10";"18/11/2014";"Encerrado"
"52013";"20113";"MINISTERIO DO PLANEJAMENTO,DESENV. E GEST√O";"20113";"MINISTERIO DO PLANEJAMENTO,DESENV. E GEST√O";"201060";"SUPERINTENDENCIA DE ADMINISTRACAO DO MP/AC";"000000000001/2015";"Adquar valor pago em relaÁ„o ao estimado no contrato.";"2868,10";"11/08/2015";"Encerrado"
"242013";"20000";"PRESIDENCIA DA REPUBLICA";"20114";"ADVOCACIA-GERAL DA UNIAO";"110097";"SUPERINT.DE ADMINIST.NO RIO GRANDE DO SUL";"00000000000012018";"REPACTUAÁ„O E DECRETO MUNICIPAL VALE TRANSPORTE.";"7053,40";"17/04/2018";"Efetivado"
"632013";"24000";"MINISTERIO DA CIENCIA,TECNOLOGIA E INOVA«√O";"20301";"COMISSAO NACIONAL DE ENERGIA NUCLEAR";"113201";"SAE-CNEN-COMIS.NACIONAL DE ENERGIA NUCLEAR/RJ";"000000000002/2017";"O presente apostilamento vincula-se ao previsto na cl·usula decima quinta do termo origin·rio, firmado em 01/11/2013 - repactuaÁ„o por convenÁ„o colet                                                          iva da categoria.";"5244,40";"06/11/2017";"Encerrado"
"632013";"24000";"MINISTERIO DA CIENCIA,TECNOLOGIA E INOVA«√O";"20301";"COMISSAO NACIONAL DE ENERGIA NUCLEAR";"113201";"SAE-CNEN-COMIS.NACIONAL DE ENERGIA NUCLEAR/RJ";"00000000002/2017a";"para correÁ„o";"0,10";"20/12/2017";"Pendente"
"32013";"44000";"MINISTERIO DO MEIO AMBIENTE";"20701";"INST.BRAS.DO MEIO AMB.E DOS REC.NAT.RENOVAV.";"193129";"IBAMA - SUPERINTENDENCIA ESTADUAL/SP";"02027002678201387";"repactuaÁ„o conforme eLEMENTOS CONSTANTES NO RESPECTIVO PROCESSO ADMINISTRA                                                                      TIVO.";"108825,60";"05/11/2014";"Encerrado"
"32013";"44000";"MINISTERIO DO MEIO AMBIENTE";"20701";"INST.BRAS.DO MEIO AMB.E DOS REC.NAT.RENOVAV.";"193129";"IBAMA - SUPERINTENDENCIA ESTADUAL/SP";"00000000000012015";"REPACTUAÁ„O DO CONTRATO DE APOIO ADMINISTRATIVO AUTORIZADO PELA DIPLAN/IBAM            A POR MEIO DA NOTA TÈCNICA N∫ 482/2015/COOR/CGPLO/DIPLAN/IBAMA.";"170100,30";"20/07/2015";"Encerrado"
"42013";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"130032";"LABORAT”RIO FEDERAL DE DEFESA AGROPECU¡RIA/GO";"000000000001/2015";"AplicaÁ„o de ajuste INPC conforme disposiÁ„o do instrumento contratual.";"15374,70";"29/11/2015";"Encerrado"
"62013";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"130032";"LABORAT”RIO FEDERAL DE DEFESA AGROPECU¡RIA/GO";"000000000001/2015";"AplicaÁ„o do Ìndice IGP-M/FGV de outubro/2014 atÈ outubro/2015.";"10395,10";"25/11/2015";"Encerrado"
"62013";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"130072";"SUPERINT.FEDERAL DE AGRIC.PECUARIA E ABASTEC.";"000000000001-2018";"REPACTUAÁ„O CONFORME DATA BASE DA CONVENÁ„O COLETIVA DE TRABALHO 2018 - REG                   ISTRO NO MTE MR006466/2018 PARA AUMENTO DO PISO SALARIAL";"13447,60";"08/03/2018";"Encerrado"
"62013";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"130072";"SUPERINT.FEDERAL DE AGRIC.PECUARIA E ABASTEC.";"00000000000012015";"RepactuaÁ„o do contrato conforme coletiva do trabalho de asseio e conservaÁ       „o 2015-Registro no MTE SC000049/2015 para aumento do piso salarial.";"67794,00";"20/04/2015";"Encerrado"
"62013";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"130072";"SUPERINT.FEDERAL DE AGRIC.PECUARIA E ABASTEC.";"000000000001-2017";"RepactuaÁ„o atravÈs da convenÁ„o coletiva do trabalho Registro no MTE MR006                                                                   294/2017";"28849,80";"11/05/2017";"Encerrado"
"62013";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"130072";"SUPERINT.FEDERAL DE AGRIC.PECUARIA E ABASTEC.";"00000000000000003";"RepactuaÁ„o conforme convenÁ„o coletiva do trabalho de asseio e conservaÁ„o          2016 Registro no MTE SC003134/2016 para aumento do piso salarial.";"42739,90";"22/04/2016";"Encerrado"
"62013";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"130072";"SUPERINT.FEDERAL DE AGRIC.PECUARIA E ABASTEC.";"00000000000000001";"DATA BASE DA CONVENÁ„O COLETIVA DO TRABALHO DE ASSEIO E CONSERVAÁ„O 2014 RE                 GISTRO NO MTE MR002510/2014 PARA AUMENTO DO PISO SALARIAL.";"30273,70";"13/02/2014";"Encerrado"
"752013";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"130102";"LABORAT”RIO FED. DE DEFESA AGROPECU¡RIA/SP";"00000000000000002";"REPACTUAÁ„O DEVIDO AO AUMENTO DO SAL·RIO MÌNIMO VIGENTE E ACORDO DE CONVENÁ                                                    „O COLETIVA DE TRABALHO";"23774,50";"17/04/2015";"Encerrado"
"752013";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"130102";"LABORAT”RIO FED. DE DEFESA AGROPECU¡RIA/SP";"00000000000000003";"REEQUILIBRIO COM BASE NA CONVEN«√O COLETIVA DE TRABALHO E AUMENTO DE SAL¡RI                                                             O MÕNIMO 2016.";"31911,20";"19/08/2016";"Encerrado"
"752013";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"130102";"LABORAT”RIO FED. DE DEFESA AGROPECU¡RIA/SP";"00000000000000001";"REPACTUAÁ„O REFERENTE AO AUMENTO DO S·LARIO MININO E CORREÁ„O NO VALOR DO S                                                             EGURO DE VIDA.";"5765,20";"13/04/2015";"Encerrado"
"112013";"49000";"MINISTERIO DO DESENVOLVIMENTO AGRARIO";"22201";"INSTIT. NAC. DE COLONIZACAO E REFORMA AGRARIA";"373053";"SUPERINTEND.ESTADUAL DA BAHIA-INCRA/SR-05";"00000000000000001";"REAJUSTE CORRESPONDENTE AO AUMENTO DA REMUNERAÁ„O DA CATEGORIA COMPOSTA DESAL·RIO, VALE REFEIÁ„O, ASSISTENCIA MÈDICA, ASSITÍNCIA ODONTOLOGICA, SEGURO                                                             DE VIDA E ETC.";"172535,00";"17/09/2014";"Encerrado"
"112013";"49000";"MINISTERIO DO DESENVOLVIMENTO AGRARIO";"22201";"INSTIT. NAC. DE COLONIZACAO E REFORMA AGRARIA";"373053";"SUPERINTEND.ESTADUAL DA BAHIA-INCRA/SR-05";"00000000000000005";"REPACTUAÁ„O CORRESPONDENTE AO AUMENTO DA REMUNERAÁ„O DA CATEGORIA COMPOSTADE SAL·RIO, VALE TRANSPORTE E ETC, COM BASE NA CONVEÁ„O COLETIVA 2017/2018.";"163651,30";"26/02/2018";"Encerrado"
"112013";"49000";"MINISTERIO DO DESENVOLVIMENTO AGRARIO";"22201";"INSTIT. NAC. DE COLONIZACAO E REFORMA AGRARIA";"373053";"SUPERINTEND.ESTADUAL DA BAHIA-INCRA/SR-05";"00000000000000003";"REPACTUAÁ„O DO VALOR DO CONTRATO COM BASE NA CONVENÁ„O COLETIVA DE TRABALHO                                                                      2016.";"226450,40";"11/05/2016";"Encerrado"
"112013";"49000";"MINISTERIO DO DESENVOLVIMENTO AGRARIO";"22201";"INSTIT. NAC. DE COLONIZACAO E REFORMA AGRARIA";"373053";"SUPERINTEND.ESTADUAL DA BAHIA-INCRA/SR-05";"00000000000000002";"REAJUSTE DO VALOR CONTRATUAL DE ACORDO COM A CONVENÁ„O COLETIVA DE TRABALHO                                                                      2015.";"159142,50";"06/07/2015";"Encerrado"
"110002013";"49000";"MINISTERIO DO DESENVOLVIMENTO AGRARIO";"22201";"INSTIT. NAC. DE COLONIZACAO E REFORMA AGRARIA";"373070";"SUPERINT. REGIONAL EM SANTA CATARINA";"00000000000022015";"Em raz„o de nova convenÁ„o coletiva de trabalho 2015/2016, registrado no di     a 11/02/2015 na Delegacia Regional do Trabalho sob o n∫ SC000268/2015.";"32306,90";"16/04/2015";"Encerrado"
"110002013";"49000";"MINISTERIO DO DESENVOLVIMENTO AGRARIO";"22201";"INSTIT. NAC. DE COLONIZACAO E REFORMA AGRARIA";"373070";"SUPERINT. REGIONAL EM SANTA CATARINA";"000000000003/2016";"TERCEIRO TERMO DE APOSTILAMENTO DA REPACTUAÁ„O DE PREÁOS, DECORRENTES DA NO VA CONVENÁ„O COLETIVA DE TRABALHO 2016/2017, REGISTRADA NO DIA 14/03/2016,                                             NA DRT SOB O N∫ SC000349/2016.";"33783,80";"30/05/2016";"Encerrado"
